date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_142,aVWAP_BoS_CHoCH_bull_196,aVWAP_BoS_CHoCH_bull_481,aVWAP_BoS_CHoCH_bull_654,aVWAP_BoS_CHoCH_bull_749,aVWAP_BoS_CHoCH_bull_786,aVWAP_BoS_CHoCH_bear_144,aVWAP_BoS_CHoCH_bear_467,aVWAP_BoS_CHoCH_bear_548,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-02-20 16:00:00+00:00,22.31,22.6,22.31,22.43,1259.0,,,,,,,,,,23.970216381644327,"rgba(239, 83, 80, 1.0)",,23.970216381644327,,0,,,0.0,0.0,0.0,0.0,25.707780468291276,-16.362531957538785,False,True,False,True,False,0.0
2025-02-20 17:00:00+00:00,22.43,22.61,22.34,22.51,1510.0,,,,,,,,,,23.786419686299887,"rgba(239, 83, 80, 1.0)",0.6657023115233771,23.786419686299887,-1.917403115784527,0,,,0.0,0.0,0.0,0.0,24.017308384337966,-17.910632739068618,False,True,False,True,False,0.0
2025-02-20 18:00:00+00:00,22.51,22.51,22.31,22.31,101.0,,,,,,,,,,23.77507093605094,"rgba(239, 83, 80, 1.0)",0.7063324766479081,23.77507093605094,-2.074194496908641,0,,,0.0,0.0,0.0,0.0,22.28703265559942,-19.699645616446013,False,True,False,True,False,0.0
2025-02-20 19:00:00+00:00,22.31,22.57,22.29,22.55,1117.0,,,,,,,,,,23.670666480751994,"rgba(239, 83, 80, 1.0)",0.7294265117446966,23.670666480751994,-1.536366532759413,0,,,0.0,0.0,0.0,0.0,23.99800420643656,-19.699645616446013,False,True,False,True,False,0.0
2025-02-20 20:00:00+00:00,22.55,22.56,22.17,22.45,4679.0,,,,,,,,,,23.359996729032684,"rgba(239, 83, 80, 1.0)",0.7552213266667278,23.359996729032684,-1.2049404550704084,0,,,0.0,0.0,0.0,0.0,24.70652956667013,-19.699645616446013,False,True,False,True,False,0.0
2025-02-21 15:00:00+00:00,23.0,23.0,22.01,22.075,4161.0,,,,,,,,,,23.18746876123105,"rgba(239, 83, 80, 1.0)",0.791796782100145,23.18746876123105,-1.4049927789304233,0,,,0.0,0.0,0.0,0.0,23.730866357987246,-19.699645616446013,False,True,False,True,False,0.0
2025-02-21 16:00:00+00:00,22.04,22.08,21.83,22.02,1035.0,,,,,,,,,,23.136833180469395,"rgba(239, 83, 80, 1.0)",0.8270554629157221,23.136833180469395,-1.3503727749189685,0,,,0.0,0.0,0.0,0.0,22.886551314633493,-20.555393336743148,False,True,False,True,False,0.0
2025-02-21 17:00:00+00:00,22.02,22.2,22.02,22.16,1127.0,,,,,,,,,,23.093364754049983,"rgba(239, 83, 80, 1.0)",0.8492948479407721,23.093364754049983,-1.098987891323077,0,,,0.0,0.0,0.0,0.0,24.189714227302083,-20.555393336743148,False,True,False,True,False,0.0
2025-02-21 18:00:00+00:00,22.16,22.16,21.945,21.945,1438.0,,,,,,,,,,23.03718589271002,"rgba(239, 83, 80, 1.0)",0.8793208271826147,23.03718589271002,-1.2420789533775007,0,,,0.0,0.0,0.0,0.0,24.08206290487217,-20.555393336743148,False,True,False,True,False,0.0
2025-02-21 19:00:00+00:00,21.945,21.96,21.78,21.83,503.0,,,,,,,,,,23.015922676290046,"rgba(239, 83, 80, 1.0)",0.909447223456234,23.015922676290046,-1.304003845086365,0,,,0.0,0.0,0.0,0.0,23.519267331879625,-21.36676799447626,False,True,False,True,False,0.0
2025-02-21 20:00:00+00:00,21.82,21.97,21.805,21.94,1972.0,,,,,,,,,,22.943003395230576,"rgba(239, 83, 80, 1.0)",0.9317974831204204,22.943003395230576,-1.076417798287777,0,,,0.0,0.0,0.0,0.0,24.75519845804954,-21.36676799447626,False,True,False,True,False,0.0
2025-02-24 15:00:00+00:00,21.73,21.82,21.45,21.71,2120.0,,,,,,,,,,22.618425123223023,"rgba(239, 83, 80, 1.0)",0.9591611058769156,22.618425123223023,-0.947103794823386,0,,,0.0,0.0,0.0,0.0,24.419449470433513,-21.36676799447626,False,True,False,True,False,0.0
2025-02-24 16:00:00+00:00,21.71,21.875,21.71,21.77,1103.0,,,,,,,,,,22.598591393765897,"rgba(239, 83, 80, 1.0)",0.9808866966738374,22.598591393765897,-0.8447371103876018,0,,,0.0,0.0,0.0,0.0,25.114340601011712,-21.36676799447626,False,True,False,True,False,0.0
2025-02-24 17:00:00+00:00,21.77,21.855,21.73,21.82,719.0,,,,,,,,,,22.58499948701198,"rgba(239, 83, 80, 1.0)",1.0002357064554686,22.58499948701198,-0.7648192141859305,0,,,0.0,0.0,0.0,0.0,26.38056310876518,-21.36676799447626,False,True,False,True,True,0.0
2025-02-24 18:00:00+00:00,21.82,22.04,21.81,22.04,82.0,,,,,,,,,,22.584396482318816,"rgba(239, 83, 80, 1.0)",1.0158211829232928,22.584396482318816,-0.5359176314399869,0,,,0.0,0.0,0.0,0.0,30.532451290655462,-23.241693288274796,False,True,False,True,True,0.0
2025-02-24 19:00:00+00:00,22.04,22.12,22.02,22.12,838.0,,,,,,,,,,22.583461586219098,"rgba(239, 83, 80, 1.0)",1.0301319560361426,22.583461586219098,-0.4499050665338608,0,,,0.0,0.0,0.0,0.0,34.40175559394191,-19.671560215077733,False,True,False,True,True,0.0
2025-02-24 20:00:00+00:00,22.12,22.12,21.97,22.08,1599.0,,,,,,,,,,22.571852447664515,"rgba(239, 83, 80, 1.0)",1.0462029284835568,22.571852447664515,-0.47013101786805717,0,,,0.0,0.0,0.0,0.0,36.5670413775555,-17.75133996472192,False,False,False,True,True,0.0
2025-02-25 15:00:00+00:00,22.35,22.35,21.96,21.995,220.0,,,,,,,,,,22.49231590037554,"rgba(239, 83, 80, 1.0)",1.0642085542067634,22.49231590037554,-0.4673105646535868,0,,,0.0,0.0,0.0,0.0,37.11275020120835,-17.24430871102824,False,False,False,True,True,0.0
2025-02-25 16:00:00+00:00,21.995,21.995,21.705,21.73,817.0,,,,,,,,,,22.439561215265837,"rgba(239, 83, 80, 1.0)",1.0877749212402732,22.439561215265837,-0.652305179509746,0,,,0.0,0.0,0.0,0.0,35.086955769042554,-17.24430871102824,False,True,False,True,False,0.0
2025-02-25 17:00:00+00:00,21.73,21.86,21.7,21.86,208.0,,,,,,,,,,22.434164170676596,"rgba(239, 83, 80, 1.0)",1.1061927930950821,22.434164170676596,-0.5190453004761568,0,,,0.0,0.0,0.0,0.0,35.893651871780506,-17.24430871102824,False,False,False,True,False,0.0
