date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_378,aVWAP_BoS_CHoCH_bull_442,aVWAP_BoS_CHoCH_bull_655,aVWAP_BoS_CHoCH_bull_751,aVWAP_BoS_CHoCH_bear_102,aVWAP_BoS_CHoCH_bear_405,aVWAP_BoS_CHoCH_bear_740,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-04-01 18:00:00+00:00,42.39,42.39,41.595,41.76,6632.0,,,,,42.87184087695879,,,43.62400814784671,"rgba(239, 83, 80, 1.0)",1.7303814165803983,43.62400814784671,-1.0772238594253905,6,0.3649017615452381,2.1894105692714287,0.0,0.0,0.0,0.0
2025-04-01 19:00:00+00:00,41.74,42.57,41.74,42.46,12124.0,,,,,42.869743315069854,,,43.60565246850306,"rgba(239, 83, 80, 1.0)",1.7346996702443582,43.60565246850306,-0.6604327470366537,7,0.3399472950978936,2.3796310656852553,0.0,0.0,0.0,0.0
2025-04-02 14:00:00+00:00,42.605,43.215,42.605,43.17,5280.0,,,,,42.86993150733657,,,43.604299685727185,"rgba(239, 83, 80, 1.0)",1.7206800378898839,43.604299685727185,-0.25240002566646624,7,0.3555116752570043,2.48858172679903,0.0,0.0,0.0,0.0
2025-04-02 15:00:00+00:00,43.16,43.55,42.96,42.96,16711.0,,,,,42.871270802907794,,,43.601026897996476,"rgba(239, 83, 80, 1.0)",1.7169336143357363,43.601026897996476,-0.37335566887627286,7,0.37901827625717266,2.6531279338002087,0.0,0.0,0.0,0.0
2025-04-02 16:00:00+00:00,42.97,43.805,42.87,43.72,7408.0,,,,,42.87249763211945,,,43.60159154473469,"rgba(239, 83, 80, 1.0)",1.7087405218964962,43.60159154473469,0.06929574955821337,8,0.3714732012305374,2.971785609844299,0.0,0.0,0.0,0.0
2025-04-02 17:00:00+00:00,43.75,44.09,43.11,43.16,9294.0,,,,,42.873999481233945,,,43.56824938327373,"rgba(239, 83, 80, 1.0)",1.699103295567679,43.56824938327373,-0.2402734338393099,8,0.40247432542686684,3.2197946034149347,0.0,0.0,0.0,0.0
2025-04-02 18:00:00+00:00,43.16,43.16,42.68,43.0,11563.0,,,,,42.874232496485,,,43.54616313525459,"rgba(239, 83, 80, 1.0)",1.7054105394619932,43.54616313525459,-0.3202531722519355,9,0.3886386984838972,3.497748286355075,0.0,0.0,0.0,0.0
2025-04-02 19:00:00+00:00,42.98,43.56,42.97,43.54,20873.0,,,,,42.877008958798086,,,43.54562377911649,"rgba(239, 83, 80, 1.0)",1.7036637177163227,43.54562377911649,-0.0033009913036293145,9,0.3953100094730701,3.557790085257631,0.0,0.0,0.0,0.0
2025-04-03 14:00:00+00:00,41.8,41.94,41.085,41.085,8961.0,,,,,42.87329472310356,,,43.50806136001746,"rgba(239, 83, 80, 1.0)",1.7470335037036357,43.50806136001746,-1.386957579737693,9,0.39638167188444,3.56743504695996,0.0,0.0,0.0,0.0
2025-04-03 15:00:00+00:00,41.13,41.72,41.13,41.5,4499.0,,,,,42.87153570255533,,,43.49234819615694,"rgba(239, 83, 80, 1.0)",1.779997026518402,43.49234819615694,-1.1192986091970543,9,0.39685900849921146,3.5717310764929033,0.0,0.0,0.0,0.0
