date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_162,aVWAP_BoS_CHoCH_bull_405,aVWAP_BoS_CHoCH_bull_578,aVWAP_BoS_CHoCH_bull_630,aVWAP_BoS_CHoCH_bull_773,aVWAP_BoS_CHoCH_bear_384,aVWAP_BoS_CHoCH_bear_804,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-04-09 17:00:00+00:00,200.22,209.67,199.885,208.77,2946.0,,,,,,,,237.53143260300973,"rgba(239, 83, 80, 1.0)",21.906614829093716,237.53143260300973,-1.3129108640195868,0,,,0.0,0.0,0.0,0.0,23.61934383258977,-30.833660828174885,False,True,False,True,True,0.0
2025-04-09 18:00:00+00:00,209.31,211.75,206.14,206.14,1688.0,,,,,,,,237.51281928432144,"rgba(239, 83, 80, 1.0)",22.492051420225955,237.51281928432144,-1.3948402792690344,0,,,0.0,0.0,0.0,0.0,27.377917760365545,-27.6304032613645,False,True,False,True,True,0.0
2025-04-09 19:00:00+00:00,206.14,208.875,205.8,206.13,8011.0,,,,,,,,236.88442757462127,"rgba(239, 83, 80, 1.0)",23.043489597668056,236.88442757462127,-1.3346254456935005,0,,,0.0,0.0,0.0,0.0,29.87974013003103,-25.53383275881421,False,True,False,True,True,0.0
2025-04-10 14:00:00+00:00,213.2,216.295,210.8,211.355,4580.0,,,,,,,,236.77736713572165,"rgba(239, 83, 80, 1.0)",23.4440873358083,236.77736713572165,-1.0843828881703468,0,,,0.0,0.0,0.0,0.0,35.116300704824695,-20.86374652089983,False,False,False,True,True,0.0
2025-04-10 15:00:00+00:00,210.98,212.675,209.03,209.28,2078.0,,,,,,,,236.6307340249227,"rgba(239, 83, 80, 1.0)",23.86751235485188,236.6307340249227,-1.145939870828756,0,,,0.0,0.0,0.0,0.0,37.567468223631366,-18.781037440547586,False,False,False,True,True,0.0
2025-04-10 16:00:00+00:00,209.48,214.66,208.295,213.5,2039.0,,,,,,,,236.52128407493726,"rgba(239, 83, 80, 1.0)",24.188172663179454,236.52128407493726,-0.9517578857861181,0,,,0.0,0.0,0.0,0.0,41.7974936230483,-14.955887755116024,True,False,False,True,True,0.0
2025-04-10 17:00:00+00:00,213.75,215.0,212.45,214.77,1222.0,,,,,,,,236.4768107986939,"rgba(239, 83, 80, 1.0)",24.469978087333725,236.4768107986939,-0.8870792904358942,0,,,0.0,0.0,0.0,0.0,45.344124775004175,-11.752904920179795,True,False,False,True,True,0.0
2025-04-10 18:00:00+00:00,214.97,220.19,214.97,217.14,2860.0,,,,,,,,236.45592440800678,"rgba(38, 166, 154, 1.0)",24.704035819938223,236.45592440800678,-0.7818934747664682,0,,,0.0,0.0,0.0,0.0,49.044268146516146,-8.358829620904238,True,False,False,False,True,0.0
2025-04-10 19:00:00+00:00,217.18,217.435,206.76,207.285,11244.0,,,,,,,,235.49342874322645,"rgba(38, 166, 154, 1.0)",25.10948567180739,235.49342874322645,-1.1234172261401,0,,,0.0,0.0,0.0,0.0,46.19200461312764,-8.358829620904238,True,False,False,True,False,0.0
2025-04-11 14:00:00+00:00,232.49,232.805,229.06,230.785,9871.0,,,,,,,,236.1432621242434,"rgba(38, 166, 154, 1.0)",25.1610949775336,236.1432621242434,-0.21295822495117164,0,,,0.0,0.0,0.0,0.0,52.84639938913986,-5.221991559382275,True,False,True,False,True,0.0
