date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_404,aVWAP_BoS_CHoCH_bull_451,aVWAP_BoS_CHoCH_bull_539,aVWAP_BoS_CHoCH_bull_626,aVWAP_BoS_CHoCH_bear_117,aVWAP_BoS_CHoCH_bear_764,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-05-12 18:00:00+00:00,7.46,7.46,7.46,7.46,0.0,,,,,7.3051001738554495,,7.418361503737989,"rgba(239, 83, 80, 1.0)",0.06005567987030833,7.418361503737989,0.6933315275412785,1,0.6593898165180486,0.6593898165180486,0.0,0.0,0.0,0.0,52.11065073473188,4.407510572732534,False,True,True,False,False,9.325225839110583
2025-05-12 19:00:00+00:00,7.46,7.47,7.46,7.46,1.0,,,,,7.305113272626929,,7.4183716037159755,"rgba(239, 83, 80, 1.0)",0.05989156868875835,7.4183716037159755,0.6950627140918106,1,0.6606337967341169,0.6606337967341169,0.0,0.0,0.0,0.0,52.455402368757035,4.407510572732534,False,True,True,False,True,9.325225839110583
2025-05-13 14:00:00+00:00,7.46,7.46,7.46,7.46,0.0,,,,,7.305113272626929,,7.4183716037159755,"rgba(239, 83, 80, 1.0)",0.05889944094933658,7.4183716037159755,0.7067706520310083,1,0.662193207710221,0.662193207710221,0.0,0.0,0.0,0.0,52.685236791440474,4.407510572732534,False,True,True,False,True,9.325225839110583
2025-05-13 15:00:00+00:00,7.46,7.465,7.46,7.465,0.0,,,,,7.305113272626929,,7.4183716037159755,"rgba(239, 83, 80, 1.0)",0.05774228235159566,7.4183716037159755,0.8075260343902191,1,0.6637444231742973,0.6637444231742973,0.0,0.0,0.0,0.0,53.79980853402273,4.407510572732534,False,True,True,False,True,9.894845039503721
2025-05-13 16:00:00+00:00,7.465,7.475,7.46,7.475,0.0,,,,,7.305113272626929,,7.4183716037159755,"rgba(38, 166, 154, 1.0)",0.05660340931380503,7.4183716037159755,1.0004414393147347,1,0.6649327480127524,0.6649327480127524,0.0,0.0,0.0,0.0,56.325822620593776,2.216026114212177,False,True,True,False,True,11.027206979964372
2025-05-13 17:00:00+00:00,7.475,7.5,7.475,7.475,102.0,,,,,7.306605510863021,,7.424663693792892,"rgba(38, 166, 154, 1.0)",0.0553415276685137,7.424663693792892,0.9095575841095906,1,0.66648835895712,0.66648835895712,0.0,0.0,0.0,0.0,58.00983201164114,3.9531384885602563,False,False,True,False,True,11.027206979964383
2025-05-13 18:00:00+00:00,7.475,7.475,7.475,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(38, 166, 154, 1.0)",0.05394800633376128,7.424663693792892,0.933052203925585,1,0.679780849198159,0.679780849198159,0.0,0.0,0.0,0.0,59.13250493900605,5.1597977734243585,False,False,True,False,True,11.027206979964383
2025-05-13 19:00:00+00:00,7.475,7.475,7.475,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(38, 166, 154, 1.0)",0.052567674100729406,7.424663693792892,0.9575524705668677,1,0.6947020354545262,0.6947020354545262,0.0,0.0,0.0,0.0,59.88095355724932,6.046061085266061,False,False,True,False,True,11.027206979964383
2025-05-14 14:00:00+00:00,7.445,7.445,7.44,7.44,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.05074774215010411,7.424663693792892,0.3022066708257811,1,0.7168395769621294,0.7168395769621294,0.0,0.0,0.0,0.0,52.08439869898348,6.457349554010996,False,True,False,False,False,5.701063212436296
2025-05-14 15:00:00+00:00,7.44,7.46,7.44,7.46,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.048748481149821624,7.424663693792892,0.7248698907870897,1,0.743249378039903,0.743249378039903,0.0,0.0,0.0,0.0,51.26376203318034,5.888215885735399,False,True,False,False,False,8.115621177103872
2025-05-14 16:00:00+00:00,7.46,7.475,7.46,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.04691376025113505,7.424663693792892,1.0729539891420137,1,0.7726792638749117,0.7726792638749117,0.0,0.0,0.0,0.0,53.21105743016975,5.888215885735399,False,True,True,False,False,9.852790181971617
2025-05-14 17:00:00+00:00,7.475,7.475,7.475,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.04449030666771631,7.424663693792892,1.131399398593787,1,0.8073689847510265,0.8073689847510265,0.0,0.0,0.0,0.0,54.509254361496026,5.888215885735399,False,True,True,False,True,9.852790181971606
2025-05-14 18:00:00+00:00,7.475,7.485,7.47,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.04106959595262341,7.424663693792892,1.2256343175417104,0,,,0.0,0.0,0.0,0.0,55.374718982380216,5.888215885735399,False,True,True,False,True,9.852790181971606
2025-05-14 19:00:00+00:00,7.475,7.48,7.47,7.47,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.03789506611731985,7.424663693792892,1.1963643516744422,0,,,0.0,0.0,0.0,0.0,54.698103883045846,5.888215885735399,False,True,True,False,True,9.079384398412174
2025-05-15 14:00:00+00:00,7.475,7.475,7.475,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.03513077242491484,7.424663693792892,1.4328266284122106,0,,,0.0,0.0,0.0,0.0,55.31975314843851,5.888215885735399,False,False,True,False,True,9.686841894863633
2025-05-15 15:00:00+00:00,7.475,7.475,7.475,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.03274980228260191,7.424663693792892,1.5369957281802638,0,,,0.0,0.0,0.0,0.0,55.734185992033616,5.888215885735399,False,False,True,False,True,9.686841894863633
2025-05-15 16:00:00+00:00,7.475,7.475,7.475,7.475,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.03175426480542871,7.424663693792892,1.5851825421101198,0,,,0.0,0.0,0.0,0.0,56.01047455443035,2.245865449119094,False,False,True,False,True,9.686841894863644
2025-05-15 17:00:00+00:00,7.475,7.485,7.475,7.485,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(239, 83, 80, 1.0)",0.030022964183743048,7.424663693792892,2.009671857776761,0,,,0.0,0.0,0.0,0.0,58.571784057932305,4.9036406135508415,True,False,True,False,True,10.941210392451818
2025-05-15 18:00:00+00:00,7.485,7.495,7.485,7.49,0.0,,,,,7.306605510863021,,7.424663693792892,"rgba(38, 166, 154, 1.0)",0.02952705279649113,7.424663693792892,2.212760841978521,0,,,0.0,0.0,0.0,0.0,61.30244172990995,7.569696279101052,True,False,True,False,True,11.562812252353396
2025-05-15 19:00:00+00:00,7.49,7.51,7.485,7.485,166.0,,,,,7.309115781233126,,7.43270047313202,"rgba(38, 166, 154, 1.0)",0.028852998033053905,7.43270047313202,1.812620193162105,0,,,0.0,0.0,0.0,0.0,61.19007663346669,7.569696279101052,True,False,True,False,True,10.714101357096407
2025-05-16 14:00:00+00:00,7.5,7.51,7.5,7.51,100.0,,,,,7.310702790274206,,7.434961090238554,"rgba(38, 166, 154, 1.0)",0.028829570654868374,7.434961090238554,2.6028452057011218,0,,,0.0,0.0,0.0,0.0,65.38550580952523,11.537292097981975,True,False,True,False,True,13.776693269326966
2025-05-16 15:00:00+00:00,7.51,7.525,7.51,7.525,100.0,,,,,7.312370762936987,,7.437509420443904,"rgba(38, 166, 154, 1.0)",0.029323145241374422,7.437509420443904,2.983669686042024,0,,,0.0,0.0,0.0,0.0,69.76773051530537,15.499417259240204,True,False,True,False,True,15.51181250200483
