date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_494,aVWAP_BoS_CHoCH_bear_54,aVWAP_BoS_CHoCH_bear_227,aVWAP_BoS_CHoCH_bear_323,aVWAP_BoS_CHoCH_bear_556,aVWAP_BoS_CHoCH_bear_831,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-05-13 19:00:00+00:00,4.27,4.3,4.27,4.295,444.0,,5.073963683120575,4.738139005655293,4.471552830946408,,,4.35030075834692,"rgba(38, 166, 154, 1.0)",0.3225011348537829,4.35030075834692,-0.17147461627380875,6,0.23552051260443743,1.4131230756266246,0.0,0.0,0.0,0.0,51.43654385488615,-1.6145778638858772,True,False,False,False,True,0.0
2025-05-14 14:00:00+00:00,4.33,4.33,4.295,4.295,200.0,,5.073656851454188,4.737765748386266,4.4712546454115545,,,4.35028048214201,"rgba(38, 166, 154, 1.0)",0.32151177244358514,4.35028048214201,-0.17193921616574576,6,0.23506356874161113,1.4103814124496667,0.0,0.0,0.0,0.0,51.708472609598296,-1.0763048421295522,True,False,False,False,True,0.0
2025-05-14 15:00:00+00:00,4.3,4.3,4.215,4.215,1026.0,,5.0719569984516175,4.735581225768202,4.46915959648447,,,4.349349112940293,"rgba(38, 166, 154, 1.0)",0.32088618846242317,4.349349112940293,-0.4186815069356769,6,0.23395263217394566,1.4037157930436739,0.0,0.0,0.0,0.0,48.70302467080115,1.506495487431316,True,False,False,False,False,0.0
2025-05-14 16:00:00+00:00,4.215,4.225,4.215,4.22,0.0,,5.0719569984516175,4.735581225768202,4.46915959648447,,,4.349349112940293,"rgba(38, 166, 154, 1.0)",0.3183309089101518,4.349349112940293,-0.40633538660489155,6,0.23309344710092286,1.3985606826055372,0.0,0.0,0.0,0.0,46.942017726375866,-0.17858584167915836,True,False,False,True,False,0.0
2025-05-14 17:00:00+00:00,4.22,4.245,4.22,4.24,2.0,,5.071953658439253,4.735576914519643,4.469155400865429,,,4.34934710126951,"rgba(38, 166, 154, 1.0)",0.3113335889421496,4.34934710126951,-0.35122166432812385,6,0.2328198803856678,1.3969192823140069,0.0,0.0,0.0,0.0,46.78767927110201,-0.3840739149019541,True,False,False,True,False,0.0
2025-05-14 18:00:00+00:00,4.24,4.245,4.185,4.185,0.0,,5.071953658439253,4.735576914519643,4.469155400865429,,,4.34934710126951,"rgba(38, 166, 154, 1.0)",0.3045217340133249,4.34934710126951,-0.5396892336831336,5,0.2563873628299504,1.281936814149752,0.0,0.0,0.0,0.0,44.46470938498366,-2.6206124404556306,True,False,False,True,False,0.0
2025-05-14 19:00:00+00:00,4.185,4.25,4.185,4.25,496.0,,5.07111956627185,4.734495803916342,4.468090016084388,,,4.32078673287135,"rgba(38, 166, 154, 1.0)",0.29779751570548074,4.32078673287135,-0.23770088445384405,5,0.25741325486960953,1.2870662743480477,0.0,0.0,0.0,0.0,46.126318853701775,-2.6206124404556306,True,False,False,True,True,0.0
2025-05-15 14:00:00+00:00,4.555,4.555,4.49,4.49,3900.0,,5.066803875919927,4.730823060050628,4.469554878451722,,,4.354795767759965,"rgba(38, 166, 154, 1.0)",0.29108227684262666,4.354795767759965,0.46448802622611446,5,0.26050806817917393,1.3025403408958698,0.0,0.0,0.0,0.0,53.962405015268565,0.21288152649236025,True,False,True,False,True,0.0
2025-05-15 15:00:00+00:00,4.49,4.51,4.47,4.51,790.0,,5.0659143665721365,4.730043876830364,4.469738243427192,,,4.356575387860088,"rgba(38, 166, 154, 1.0)",0.28457480531455254,4.356575387860088,0.5391363159163888,6,0.28844498529221113,1.730669911753267,0.0,0.0,0.0,0.0,59.551697975009844,4.926054658729143,True,False,True,False,True,0.0
2025-05-15 16:00:00+00:00,4.51,4.695,4.485,4.67,1749.0,,5.064367965282767,4.729214724559142,4.471905808225649,,,4.372373106889571,"rgba(38, 166, 154, 1.0)",0.2791266947314559,4.372373106889571,1.0662788573367095,6,0.29085415079551824,1.7451249047731094,1.0,0.0,4.695,607.0,65.66965955037897,10.0565291196097,True,False,True,False,True,3.243420024331442
2025-05-15 17:00:00+00:00,4.67,4.67,4.485,4.485,1001.0,,5.063350065277828,4.72845384477654,4.47253174915173,,,4.373715622772979,"rgba(38, 166, 154, 1.0)",0.27242157314263704,4.373715622772979,0.4085006042041841,6,0.29353250263347846,1.7611950158008707,0.0,0.0,0.0,0.0,63.469623295222945,10.0565291196097,True,False,True,False,False,0.0
2025-05-15 18:00:00+00:00,4.485,4.51,4.485,4.495,1315.0,,5.061890116198199,4.727191586050003,4.472794319610829,,,4.374034511706311,"rgba(38, 166, 154, 1.0)",0.2653971696489118,4.374034511706311,0.4557904232879034,5,0.33035296334093894,1.6517648167046948,0.0,0.0,0.0,0.0,62.20062396274896,10.0565291196097,True,False,True,False,False,0.0
2025-05-15 19:00:00+00:00,4.495,4.495,4.455,4.49,300.0,,5.061548311113114,4.726884861219109,4.47281215957482,,,4.374078161104271,"rgba(38, 166, 154, 1.0)",0.26182054923171255,4.374078161104271,0.4427530200967443,5,0.33181682145155855,1.6590841072577929,0.0,0.0,0.0,0.0,61.193841083701464,10.0565291196097,True,False,True,False,False,0.0
2025-05-16 14:00:00+00:00,4.45,4.515,4.45,4.515,100.0,,5.061437075479148,4.726788301250246,4.472829081183896,,,4.374143577077402,"rgba(38, 166, 154, 1.0)",0.25912635618258534,4.374143577077402,0.5435819999079816,5,0.33340746558077633,1.6670373279038817,0.0,0.0,0.0,0.0,61.114510013135785,10.0565291196097,True,False,True,False,False,0.0
2025-05-16 15:00:00+00:00,4.515,4.515,4.44,4.445,2000.0,,5.059117473088403,4.724655037615359,4.4727291004175065,,,4.37450777667243,"rgba(38, 166, 154, 1.0)",0.25565112066152007,4.37450777667243,0.2757360231598654,5,0.3349770458993485,1.6748852294967427,0.0,0.0,0.0,0.0,58.61309205683975,14.752627894694996,True,False,True,False,False,0.0
