date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_110,aVWAP_BoS_CHoCH_bull_246,aVWAP_BoS_CHoCH_bull_366,aVWAP_BoS_CHoCH_bull_623,aVWAP_BoS_CHoCH_bull_693,aVWAP_BoS_CHoCH_bull_720,aVWAP_BoS_CHoCH_bull_821,aVWAP_BoS_CHoCH_bear_119,aVWAP_BoS_CHoCH_bear_537,aVWAP_BoS_CHoCH_bear_601,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-06-04 19:00:00+00:00,47.025,47.065,46.675,46.68,67850.0,44.54172453752796,45.373214150426946,45.680764163515235,,,,,45.10772394709362,,,45.91077585541722,"rgba(38, 166, 154, 1.0)",0.6876486767985358,45.91077585541722,1.118629571373614,4,0.19845274560424633,0.7938109824169853,0.0,0.0,0.0,0.0,52.81146165533961,10.176897686267132,False,True,False,False,False,7.117392334807448
2025-06-05 14:00:00+00:00,46.85,46.95,46.7,46.81,13055.0,44.5459503511295,45.37749431906724,45.68742159884667,,,,,45.1122138204424,,,45.914656332850214,"rgba(38, 166, 154, 1.0)",0.678043734803575,45.914656332850214,1.3204807023387122,4,0.19871599466491002,0.7948639786596401,0.0,0.0,0.0,0.0,50.307383254562524,7.949992772690642,False,True,False,False,False,8.47966181727124
2025-06-05 15:00:00+00:00,46.81,46.87,46.72,46.77,6258.0,44.54794085805294,45.379489875319805,45.690492258339056,,,,,45.11431588653748,,,45.9163745826399,"rgba(38, 166, 154, 1.0)",0.6667781010472004,45.9163745826399,1.2802241345650904,4,0.19880362355493095,0.7952144942197238,0.0,0.0,0.0,0.0,48.16817268129868,5.896389907836436,False,True,False,True,False,7.956967304549124
2025-06-05 16:00:00+00:00,46.765,46.905,46.74,46.85,10270.0,44.55126533240894,45.382856898547416,45.69569985884806,,,,,45.11784668989547,,,45.91956953803471,"rgba(38, 166, 154, 1.0)",0.658603539029131,45.91956953803471,1.4127322536664042,4,0.19874538432471373,0.7949815372988549,0.0,0.0,0.0,0.0,47.965754683047955,5.459873953731446,False,True,False,True,False,8.80285063724746
2025-06-05 17:00:00+00:00,46.855,46.96,46.85,46.895,5825.0,44.553204378373856,45.384851631360604,45.69881317951592,,,,,45.119924399693936,,,45.92168574374212,"rgba(38, 166, 154, 1.0)",0.6559674994696267,45.92168574374212,1.483784268343852,4,0.19908873754535808,0.7963549501814323,0.0,0.0,0.0,0.0,48.525756543304155,5.459873953731446,False,True,False,False,False,9.27879782643943
2025-06-05 18:00:00+00:00,46.895,46.9,46.735,46.845,9390.0,44.55622381776234,45.38789771672199,45.703487379059275,,,,,45.12312297664548,,,45.9245749873997,"rgba(38, 166, 154, 1.0)",0.6543545268789092,45.9245749873997,1.4066151830422435,4,0.20039882848766266,0.8015953139506506,0.0,0.0,0.0,0.0,48.11561627416404,4.721245158456682,False,True,False,True,False,8.597333200904828
2025-06-05 19:00:00+00:00,46.845,46.875,46.73,46.87,24923.0,44.564193420893915,45.39591129404373,45.715689696921004,,,,,45.131546559377696,,,45.93221305103408,"rgba(38, 166, 154, 1.0)",0.6563471669807663,45.93221305103408,1.4287971307620435,4,0.2011432489386225,0.80457299575449,0.0,0.0,0.0,0.0,48.29791155416089,4.340806820782383,False,True,False,False,False,8.870147085825014
2025-06-06 14:00:00+00:00,46.845,46.925,46.605,46.63,7525.0,44.566477444837325,45.39813681376347,45.718978121796845,,,,,45.13391684569732,,,45.93398506241026,"rgba(239, 83, 80, 1.0)",0.6562064880470395,45.93398506241026,1.0606645168370405,4,0.2028506468821042,0.8114025875284168,0.0,0.0,0.0,0.0,44.86961462784372,0.6534742611225255,False,True,False,True,False,5.625276913997375
2025-06-06 15:00:00+00:00,46.63,46.82,46.585,46.665,22244.0,44.573107178954956,45.40452363621629,45.728286459260325,,,,,45.140750516635734,,,45.93884894030138,"rgba(239, 83, 80, 1.0)",0.6547496736426905,45.93884894030138,1.109051426721123,4,0.20426682110209168,0.8170672844083667,0.0,0.0,0.0,0.0,43.30023176105349,-1.1561075096591509,False,True,False,True,False,6.0224032660755675
2025-06-06 16:00:00+00:00,46.67,46.725,46.595,46.61,10670.0,44.57620287742136,45.40745450076565,45.732474834202506,,,,,45.14390913611458,,,45.94089838201838,"rgba(239, 83, 80, 1.0)",0.6524889975256033,45.94089838201838,1.0254603840356131,4,0.2054914184307074,0.8219656737228296,0.0,0.0,0.0,0.0,41.48106092639172,-3.1688349885807625,False,True,False,True,False,5.285461919290071
