date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_71,aVWAP_BoS_CHoCH_bull_456,aVWAP_BoS_CHoCH_bull_611,aVWAP_BoS_CHoCH_bull_683,aVWAP_BoS_CHoCH_bear_65,aVWAP_BoS_CHoCH_bear_251,aVWAP_BoS_CHoCH_bear_473,aVWAP_BoS_CHoCH_bear_702,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-06-11 17:00:00+00:00,18.295,18.35,18.15,18.16,16569.0,18.54927463044552,,,,18.405887581601743,18.121716671270395,,,18.364758900105397,"rgba(38, 166, 154, 1.0)",0.906548433931187,18.364758900105397,-0.22586647601107543,1,1.4385009672074907,1.4385009672074907,0.0,0.0,0.0,0.0,52.55191095062398,-0.6989882937157432,False,False,True,False,False,0.0
2025-06-11 18:00:00+00:00,18.16,18.175,18.005,18.005,23334.0,18.54774812878674,,,,18.404933726788038,18.12136140228642,,,18.360451966070507,"rgba(38, 166, 154, 1.0)",0.8926020621987524,18.360451966070507,-0.39821996959644085,1,1.4437446879515206,1.4437446879515206,0.0,0.0,0.0,0.0,48.51613975881192,4.51665357760686,False,True,False,True,False,0.0
2025-06-11 19:00:00+00:00,18.005,18.025,17.875,17.955,50760.0,18.543716162187152,,,,18.40221777843725,18.119205190805225,,,18.351021251502683,"rgba(38, 166, 154, 1.0)",0.8780612755403957,18.351021251502683,-0.45101778490226274,1,1.4481834563199463,1.4481834563199463,0.0,0.0,0.0,0.0,45.11738117542738,1.3652616469207715,False,True,False,True,False,0.0
2025-06-12 14:00:00+00:00,18.035,18.15,18.03,18.09,49764.0,18.540727211455838,,,,18.400394408021327,18.118845855347274,,,18.347822669476283,"rgba(38, 166, 154, 1.0)",0.861995944891292,18.347822669476283,-0.29909963150557256,1,1.4540707022745782,1.4540707022745782,0.0,0.0,0.0,0.0,45.68088819341759,1.3652616469207715,False,True,False,True,False,0.0
2025-06-12 15:00:00+00:00,18.095,18.13,17.93,17.995,42100.0,18.537831963738903,,,,18.39851605824084,18.117810403691134,,,18.344123134013365,"rgba(38, 166, 154, 1.0)",0.8453847570115095,18.344123134013365,-0.4129754305572502,2,0.7810367588704509,1.5620735177409018,0.0,0.0,0.0,0.0,44.52373456312969,0.5810154038582027,False,True,False,True,False,0.0
2025-06-12 16:00:00+00:00,17.995,18.09,17.995,18.035,36539.0,18.535448761175324,,,,18.396992785478552,18.117120868980905,,,18.341569107561604,"rgba(38, 166, 154, 1.0)",0.8275976031821344,18.341569107561604,-0.37043257059087353,2,0.7867341064433668,1.5734682128867337,0.0,0.0,0.0,0.0,44.60887375860885,0.3329534315401901,False,True,False,True,False,0.0
2025-06-12 17:00:00+00:00,18.035,18.135,17.96,17.995,85163.0,18.529871374668065,,,,18.393394121837765,18.11535785302994,,,18.335903520718176,"rgba(38, 166, 154, 1.0)",0.7965203435303315,18.335903520718176,-0.4279909778665855,2,0.7942535377773494,1.5885070755546988,0.0,0.0,0.0,0.0,43.95452228871926,-0.6981748256678912,False,True,False,True,False,0.0
2025-06-12 18:00:00+00:00,17.995,18.03,17.875,17.915,45943.0,18.526380761544385,,,,18.39100830736137,18.113464148705805,,,18.331671353298553,"rgba(38, 166, 154, 1.0)",0.7649546591992555,18.331671353298553,-0.5447007195625425,2,0.7971631977684192,1.5943263955368383,0.0,0.0,0.0,0.0,42.14203822911953,-2.784439738615994,False,True,False,True,False,0.0
2025-06-12 19:00:00+00:00,17.915,17.975,17.865,17.89,224923.0,18.509026546217044,,,,18.37892790556689,18.10324734601176,,,18.312040446307414,"rgba(38, 166, 154, 1.0)",0.7292602385263528,18.312040446307414,-0.5787240603714365,2,0.8024660372640305,1.604932074528061,0.0,0.0,0.0,0.0,40.51110459918715,-4.630440632988673,False,True,False,True,False,0.0
2025-06-13 14:00:00+00:00,17.62,17.65,17.405,17.6,29027.0,18.505560580441347,,,,18.37625530268148,18.099695949522946,,,18.30686432538355,"rgba(239, 83, 80, 1.0)",0.6941406963334755,18.30686432538355,-1.0183300433432025,2,0.8075596540032596,1.6151193080065191,0.0,0.0,0.0,0.0,35.6929090288217,-9.298797886272332,False,True,False,True,False,0.0
2025-06-13 15:00:00+00:00,17.595,17.73,17.58,17.71,18902.0,18.503603205916022,,,,18.374779624059308,18.09791579471376,,,18.304218661406935,"rgba(239, 83, 80, 1.0)",0.6580675709438528,18.304218661406935,-0.9029751466930039,2,0.8111261134982337,1.6222522269964674,0.0,0.0,0.0,0.0,35.28201138501884,-9.773040966158803,False,True,False,True,False,0.0
2025-06-13 16:00:00+00:00,17.705,17.705,17.54,17.555,20825.0,18.501267796075734,,,,18.372991750593116,18.095635879782684,,,18.300938347613464,"rgba(239, 83, 80, 1.0)",0.6197684252209971,18.300938347613464,-1.2035759119988685,2,0.812243224080183,1.624486448160366,0.0,0.0,0.0,0.0,33.254532789082255,-11.836110687548135,False,True,False,True,False,0.0
2025-06-13 17:00:00+00:00,17.545,17.585,17.505,17.535,15993.0,18.499366893495715,,,,18.37152111375241,18.093694686458615,,,18.298208943841892,"rgba(239, 83, 80, 1.0)",0.5912049994302855,18.298208943841892,-1.2909379057642583,2,0.811623390939169,1.623246781878338,0.0,0.0,0.0,0.0,31.691868071223944,-13.461661514845154,False,True,False,True,False,0.0
2025-06-13 18:00:00+00:00,17.535,17.555,17.34,17.41,29772.0,18.495456324351053,,,,18.368447124451396,18.089425731234503,,,18.292385760707,"rgba(239, 83, 80, 1.0)",0.5608315335366052,18.292385760707,-1.5733526165026277,2,0.8122127018353827,1.6244254036707655,0.0,0.0,0.0,0.0,29.390571946877298,-15.76693395335515,False,True,False,True,False,0.0
2025-06-13 19:00:00+00:00,17.415,17.42,17.225,17.245,117036.0,18.478388609775966,,,,18.35479393411396,18.06973035975337,,,18.220445525207406,"rgba(239, 83, 80, 1.0)",0.525400807963805,18.220445525207406,-1.8565740867201026,2,0.8122630902701291,1.6245261805402582,0.0,0.0,0.0,0.0,26.49984355508373,-18.564834111024602,False,True,False,True,False,0.0
2025-06-16 14:00:00+00:00,17.5,17.605,17.38,17.575,50408.0,18.47254745116,,,,18.350238693970056,18.063910262926573,,,18.216496115113863,"rgba(239, 83, 80, 1.0)",0.4756379026259612,18.216496115113863,-1.3487068872606902,2,0.8148450064921362,1.6296900129842724,0.0,0.0,0.0,0.0,31.70145927139428,-23.616021810612207,False,True,False,True,True,0.0
2025-06-16 15:00:00+00:00,17.575,17.67,17.57,17.635,48873.0,18.467568565643017,,,,18.346421968811857,18.05945071804799,,,18.213810885376322,"rgba(239, 83, 80, 1.0)",0.4205764169833236,18.213810885376322,-1.3762323848968239,2,0.8197966181199989,1.6395932362399979,0.0,0.0,0.0,0.0,36.17834014660943,-19.6187113784318,False,True,False,True,True,0.0
2025-06-16 16:00:00+00:00,17.635,17.675,17.555,17.61,26838.0,18.46482175945229,,,,18.344309480687215,18.05697541323828,,,18.211767269798692,"rgba(239, 83, 80, 1.0)",0.36789960195292976,18.211767269798692,-1.6356833946117846,2,0.8264667311249579,1.6529334622499159,0.0,0.0,0.0,0.0,38.802998433083275,-17.33156194314593,False,True,False,True,True,0.0
2025-06-16 17:00:00+00:00,17.615,17.66,17.58,17.61,17532.0,18.463043906540058,,,,18.342942316774224,18.055385231126802,,,18.210367407430937,"rgba(239, 83, 80, 1.0)",0.36822959690394674,18.210367407430937,-1.6304159483072298,2,0.8337123373173406,1.6674246746346812,0.0,0.0,0.0,0.0,40.55277062406584,-15.727390220972744,False,True,False,True,True,0.0
2025-06-16 18:00:00+00:00,17.61,17.655,17.56,17.56,24256.0,18.460524160180963,,,,18.340994438147337,18.053079720386084,,,18.208101680504193,"rgba(239, 83, 80, 1.0)",0.36737701870677886,18.208101680504193,-1.7641323422613835,2,0.8408138515895823,1.6816277031791647,0.0,0.0,0.0,0.0,40.880791968323344,-15.274148877377463,False,True,False,True,True,0.0
2025-06-16 19:00:00+00:00,17.565,17.6,17.53,17.6,59100.0,18.454340408851937,,,,18.33619626869941,18.0473776146876,,,18.202080630223673,"rgba(239, 83, 80, 1.0)",0.36635005167239637,18.202080630223673,-1.6434572002246473,2,0.8490019885758565,1.698003977151713,0.0,0.0,0.0,0.0,42.05203024174949,-13.893695997889715,False,True,False,True,True,0.0
2025-06-17 14:00:00+00:00,17.65,17.765,17.565,17.7,53544.0,18.449442097290778,,,,18.332466425923887,18.04340088224258,,,18.198427542228348,"rgba(239, 83, 80, 1.0)",0.36337250388077497,18.198427542228348,-1.3716710452915457,2,0.859727321576129,1.719454643152258,0.0,0.0,0.0,0.0,45.07300691072806,-10.803090598344014,False,False,False,True,True,0.0
2025-06-17 15:00:00+00:00,17.695,17.825,17.68,17.745,10783.0,18.448556004928005,,,,18.331803810429896,18.04276840637054,,,18.19793590943455,"rgba(239, 83, 80, 1.0)",0.36191167853921263,18.19793590943455,-1.2515095154230353,2,0.8727716150671646,1.7455432301343292,0.0,0.0,0.0,0.0,48.02651881551783,-7.865323596107366,False,False,False,False,True,0.0
2025-06-17 16:00:00+00:00,17.75,17.825,17.69,17.695,25565.0,18.446424219739175,,,,18.330202984245247,18.04121193693072,,,18.196610054222454,"rgba(239, 83, 80, 1.0)",0.3579839318956968,18.196610054222454,-1.4012082932498882,2,0.88637277273633,1.77274554547266,0.0,0.0,0.0,0.0,48.786937762903094,-6.95534958462963,True,False,False,False,True,0.0
2025-06-17 17:00:00+00:00,17.695,17.73,17.63,17.64,25149.0,18.44413394283204,,,,18.328451851426653,18.039347760189536,,,18.194689634986666,"rgba(239, 83, 80, 1.0)",0.35793518211346875,18.194689634986666,-1.5496929687421002,2,0.8984429213156137,1.7968858426312273,0.0,0.0,0.0,0.0,48.005947934938504,-6.95534958462963,False,False,False,False,True,0.0
2025-06-17 18:00:00+00:00,17.635,17.745,17.61,17.735,36872.0,18.440928925555827,,,,18.326016718708786,18.036865248847036,,,18.192200021470168,"rgba(239, 83, 80, 1.0)",0.35670823618998937,18.192200021470168,-1.281719834544709,2,0.9122578119743486,1.8245156239486973,0.0,0.0,0.0,0.0,49.8035850957039,-5.493082070605588,True,False,False,False,True,0.0
2025-06-17 19:00:00+00:00,17.735,17.875,17.735,17.78,71250.0,18.43563466305532,,,,18.322103251670363,18.03354918952889,,,18.16919240642718,"rgba(239, 83, 80, 1.0)",0.3531289609520446,18.16919240642718,-1.1021254257308863,2,0.9275647650212298,1.8551295300424595,0.0,0.0,0.0,0.0,52.007409220076156,-3.1708537173946993,True,False,True,False,True,0.0
