date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_110,aVWAP_BoS_CHoCH_bull_222,aVWAP_BoS_CHoCH_bull_279,aVWAP_BoS_CHoCH_bull_373,aVWAP_BoS_CHoCH_bull_474,aVWAP_BoS_CHoCH_bull_613,aVWAP_BoS_CHoCH_bull_648,aVWAP_BoS_CHoCH_bull_718,aVWAP_BoS_CHoCH_bull_791,aVWAP_BoS_CHoCH_bear_456,aVWAP_BoS_CHoCH_bear_671,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2025-10-01 15:00:00+00:00,151.02,151.42,149.88,149.88,17018.0,123.13084870191739,129.4430995743044,131.97434737959762,136.8460255766093,144.4679776021607,146.49688311387553,147.6211104457454,145.48362815468286,,142.91877698067174,146.8780840362681,146.12119828929443,"rgba(38, 166, 154, 1.0)",4.467277220608682,146.12119828929443,0.841407758033297,3,0.43146648994025644,1.2943994698207693,0.0,0.0,0.0,0.0,66.63214684516525,8.426251741698863,True,False,True,False,True,5.7589042968053334
2025-10-01 16:00:00+00:00,149.89,150.4,149.23,149.26,17907.0,123.15190680209359,129.46493673587028,131.99580733878278,136.86531156271107,144.47950854596894,146.51177537678325,147.6345135564851,145.56575155547887,,142.93258564836762,146.91111333599196,146.1274449749246,"rgba(38, 166, 154, 1.0)",4.432258482112225,146.1274449749246,0.7067627119938521,3,0.4310084784913701,1.2930254354741102,0.0,0.0,0.0,0.0,65.24863753586787,8.426251741698863,True,False,True,False,True,4.63238622971263
2025-10-01 17:00:00+00:00,149.26,149.67,149.13,149.44,28455.0,123.18502702308271,129.49916811596157,132.02938336813898,136.89532025799093,144.4969597583225,146.53352657570545,147.65317465148303,145.6831505947894,,142.9537056210844,146.95794294230097,146.1409483526669,"rgba(38, 166, 154, 1.0)",4.409866248916953,146.1409483526669,0.7481069631405116,3,0.43056868530068254,1.2917060559020477,0.0,0.0,0.0,0.0,64.59387262555188,8.426251741698863,True,False,True,False,True,4.921976739973161
2025-10-01 18:00:00+00:00,149.44,149.765,148.56,149.37,28937.0,123.21839000703788,129.53354260075375,132.06304020786203,136.92524968419053,144.5139293172304,146.55393987152854,147.66983690671393,145.78994472398222,,142.974442570242,147.00040878033056,146.1562837288811,"rgba(38, 166, 154, 1.0)",4.39509681042142,146.1562837288811,0.7312048880240145,3,0.4316442343352116,1.2949327030056348,0.0,0.0,0.0,0.0,63.961735656806894,8.426251741698863,True,False,True,False,True,4.791669509798645
2025-10-01 19:00:00+00:00,149.4,149.89,149.055,149.73,61723.0,123.29015895792226,129.60767445841074,132.13575006810686,136.99028856747415,144.55220062773537,146.6016539336661,147.71142137087423,146.0172602081055,,143.02050567810642,147.09840687923625,146.20734791527167,"rgba(38, 166, 154, 1.0)",4.395501411404761,146.20734791527167,0.8014221257188755,3,0.43236783672929685,1.2971035101878905,0.0,0.0,0.0,0.0,64.17349436309411,8.426251741698863,True,False,True,False,True,5.387289446484495
2025-10-02 14:00:00+00:00,148.95,149.07,147.99,148.73,15496.0,123.30745829964475,129.62530671683254,132.15290724315267,137.00527064462293,144.55988964459866,146.60957675174734,147.7162883207725,146.05574046565332,,143.03028291964665,147.1126804414098,146.21219714111902,"rgba(38, 166, 154, 1.0)",4.392390146401136,146.21219714111902,0.5732193122562002,3,0.434312306239442,1.302936918718326,0.0,0.0,0.0,0.0,61.35856091913138,8.426251741698863,True,False,True,False,False,3.499647114676396
2025-10-02 15:00:00+00:00,148.745,149.615,148.38,149.2,62804.0,123.37862353686897,129.69819064988985,132.2240492432508,137.06803519135582,144.59433647780247,146.64847173498183,147.74568573973335,146.2273139717962,,143.0728653360658,147.18525942160235,146.24956484848641,"rgba(38, 166, 154, 1.0)",4.387490369076877,146.24956484848641,0.6724653283134937,3,0.4354165300083442,1.3062495900250326,0.0,0.0,0.0,0.0,60.48066465511653,8.426251741698863,True,False,True,False,False,4.295895802371241
2025-10-02 16:00:00+00:00,149.195,149.77,148.61,148.73,21453.0,123.40281588756518,129.72292551387636,132.24817279129482,137.08927500315787,144.60590885572242,146.6613244282878,147.75522663434396,146.28098262901935,,143.0872054220701,147.20847515313685,146.26225938704067,"rgba(38, 166, 154, 1.0)",4.386887662154569,146.26225938704067,0.5625265115057256,3,0.43776897266880455,1.3133069180064136,0.0,0.0,0.0,0.0,58.51046057168407,8.426251741698863,True,False,True,False,False,3.404936480788738
2025-10-02 17:00:00+00:00,148.75,149.265,148.67,148.935,18644.0,123.42373803371444,129.74428149983362,132.26898187715406,137.10754940742746,144.6157364143151,146.67200996607647,147.76289392614294,146.32467939644087,,143.099445136917,147.22732089816745,146.27266560844137,"rgba(38, 166, 154, 1.0)",4.383245441862369,146.27266560844137,0.6073888462032936,3,0.43960579338505124,1.3188173801551537,0.0,0.0,0.0,0.0,57.70507825673112,12.366896041125614,True,False,True,False,False,3.7611855816295545
2025-10-02 18:00:00+00:00,148.945,149.705,148.945,149.61,21420.0,123.44816856012329,129.76934912381793,132.29348745837214,137.12929369413325,144.6281718881062,146.68662930860202,147.7749553327953,146.38168630185513,,143.11455182955487,147.25414554082846,146.28875939369388,"rgba(38, 166, 154, 1.0)",4.371421045261896,146.28875939369388,0.7597622310726545,3,0.44108502439436464,1.3232550731830939,0.0,0.0,0.0,0.0,58.786022911988475,12.366896041125614,True,False,True,False,False,4.932599924010667
2025-10-02 19:00:00+00:00,149.6,151.37,149.59,151.37,40540.0,123.49668961104649,129.81988170775455,132.34333493957172,137.17475739822783,144.65814599275785,146.7274004896342,147.81574395170185,146.5297207654668,,143.1490556355885,147.33385976267465,146.34016735613534,"rgba(38, 166, 154, 1.0)",4.373430761041646,146.34016735613534,1.1500885503139144,3,0.4415296136863763,1.3245888410591289,0.0,0.0,0.0,0.0,62.69416241721658,8.228977827847686,True,False,True,False,True,7.869547845254381
2025-10-03 14:00:00+00:00,159.855,160.405,156.67,159.86,83350.0,123.62573948289106,129.96337931264074,132.49020715311866,137.32307781191167,144.80025339197223,146.97344073749775,148.11912612312972,147.33596928523363,,143.294266427226,147.85155423789473,146.68328197259623,"rgba(38, 166, 154, 1.0)",4.551592014325167,146.68328197259623,2.894969053889906,3,0.4263014944911387,1.278904483473416,0.0,0.0,0.0,0.0,70.90853792872298,15.765978642925532,True,False,True,False,True,19.35121331893929
2025-10-03 15:00:00+00:00,159.7,161.415,159.44,161.19,79007.0,123.75305367259395,130.10601097386757,132.63679581382715,137.47273182862884,144.94824974386265,147.22952818612242,148.43463806764547,148.10789166352478,,143.44415630394676,148.3703748979336,147.01437073655205,"rgba(38, 166, 154, 1.0)",4.7603184038791095,147.01437073655205,2.977874179991079,3,0.4102238834853002,1.2306716504559005,0.0,0.0,0.0,0.0,76.77046386473567,20.813894551054574,True,False,True,False,True,20.0
2025-10-03 16:00:00+00:00,161.22,162.56,161.06,161.15,66188.0,123.86164638145827,130.2280043691431,132.76237145971922,137.60148526273346,145.07716290148613,147.45080976640625,148.70572708979353,148.73098587794104,,143.5742641072873,148.803537444063,147.2861387827634,"rgba(38, 166, 154, 1.0)",4.9547154262337685,147.2861387827634,2.7981145281990396,3,0.39707675662045167,1.191230269861355,0.0,0.0,0.0,0.0,80.58750041178092,23.966523798097015,True,False,True,False,True,20.0
2025-10-03 17:00:00+00:00,161.06,161.06,157.72,158.84,47137.0,123.93374197796828,130.30775071623592,132.84380139285483,137.68331727768472,145.15468375389108,147.57841650301395,148.85760437016754,149.06479388144152,,143.65368277214688,149.0407624428008,147.4330054142569,"rgba(38, 166, 154, 1.0)",5.070565696891271,147.4330054142569,2.249649302983421,2,0.5367292018779403,1.0734584037558805,0.0,0.0,0.0,0.0,78.22618034674508,23.966523798097015,True,False,True,False,True,16.360568144825606
2025-10-03 18:00:00+00:00,158.745,160.695,158.735,160.63,33934.0,123.98665446892694,130.3664971602786,132.90391215445084,137.74405724275232,145.21316639035285,147.67488545313546,148.9726305370341,149.3104672767188,,143.7133224722692,149.2180875494335,147.54311852237902,"rgba(38, 166, 154, 1.0)",5.22353159503495,147.54311852237902,2.505370406883394,2,0.5207187518350997,1.0414375036701995,0.0,0.0,0.0,0.0,77.77337781168262,23.966523798097015,True,False,True,False,False,18.4134898116768
2025-10-03 19:00:00+00:00,160.65,162.035,160.6,161.09,119836.0,124.17857008185672,130.58058195232564,133.12354740314527,137.96755910613524,145.43280347972208,148.03646931468217,149.40343320635307,150.18600444059342,,143.93602464334447,149.86686271428542,147.94849984793083,"rgba(38, 166, 154, 1.0)",5.3762626909895905,147.94849984793083,2.44435603455423,2,0.5052563659701093,1.0105127319402185,0.0,0.0,0.0,0.0,77.74453004977347,23.966523798097015,True,False,True,False,False,18.928250597874467
2025-10-06 14:00:00+00:00,164.53,165.515,162.88,165.515,52364.0,124.26943580051744,130.6834552907905,133.22991397224834,138.07794413086373,145.547105588683,148.22757006785733,149.63362652879417,150.63497363540137,,144.0503147036162,150.2070826608389,148.16275999384806,"rgba(38, 166, 154, 1.0)",5.667651727842166,148.16275999384806,3.061627785085943,2,0.48015632572272193,0.9603126514454439,0.0,0.0,0.0,0.0,79.78577252566771,23.966523798097015,True,False,True,False,False,20.0
2025-10-06 15:00:00+00:00,165.4,166.27,165.09,165.53,39326.0,124.33908179117701,130.7625550571839,133.3118372617212,138.16332385433344,145.63647767839996,148.37673522685762,149.81312807010983,150.97687898105792,,144.1394233152021,150.46935333236183,148.32854492609658,"rgba(38, 166, 154, 1.0)",5.931958566311526,148.32854492609658,2.8997935305200944,2,0.45913556502735553,0.9182711300547111,0.0,0.0,0.0,0.0,81.15227575621961,24.89718038843108,True,False,True,False,False,20.0
2025-10-06 16:00:00+00:00,165.545,165.75,164.54,165.75,15391.0,124.36608869565899,130.7931641246617,133.34350675712764,138.1962517720114,145.67074638597063,148.43347272659207,149.88104858840714,151.1039766956819,,144.1736405229855,150.56771230156173,148.3909054040727,"rgba(38, 166, 154, 1.0)",6.187439858293926,148.3909054040727,2.8055375071902127,2,0.44094244897297885,0.8818848979459577,0.0,0.0,0.0,0.0,82.155214237291,26.22701861642959,True,False,True,False,True,20.0
2025-10-06 17:00:00+00:00,165.73,166.96,165.58,166.52,30179.0,124.42023957681842,130.85477001782823,133.40737117095088,138.2629718798593,145.74101667658118,148.55018724128053,150.0210765596085,151.36393847276355,,144.24358961197174,150.76973272398536,148.5192169656616,"rgba(38, 166, 154, 1.0)",6.457749020705191,148.5192169656616,2.787470212394955,2,0.4239213402197918,0.8478426804395836,0.0,0.0,0.0,0.0,83.15717914543778,27.5751306966295,True,False,True,False,True,20.0
2025-10-06 18:00:00+00:00,166.48,166.745,163.88,165.38,70833.0,124.54371664593594,130.99440590051253,133.55169747831675,138.4127029756796,145.8960306741577,148.8029125445426,150.32064660154577,151.9014402182424,,144.39856405329607,151.19447921323967,148.79107306812392,"rgba(38, 166, 154, 1.0)",6.6751130921353905,148.79107306812392,2.485190393466311,2,0.41238164269430905,0.8247632853886181,0.0,0.0,0.0,0.0,81.12403412318181,27.5751306966295,True,False,True,False,True,20.0
2025-10-06 19:00:00+00:00,165.42,165.72,164.24,164.52,109791.0,124.73127304502394,131.20544912913914,133.76930529641763,138.6372196722079,146.12535564136058,149.16834617144372,150.74753932340516,152.62882556846566,,144.6285998202919,151.78401261882544,149.17426272846137,"rgba(38, 166, 154, 1.0)",6.856910665443909,149.17426272846137,2.2379958001895845,2,0.40380096611140537,0.8076019322228107,0.0,0.0,0.0,0.0,77.84932589792601,27.5751306966295,True,False,True,False,False,20.0
2025-10-07 14:00:00+00:00,166.97,167.42,164.965,165.08,33168.0,124.78898861982199,131.27056021024185,133.83653764073472,138.7068461370516,146.1971742705607,149.28229654312835,150.880373918337,152.84936985448928,,144.70045180605385,151.96504356372614,150.29890244968396,"rgba(38, 166, 154, 1.0)",7.044821911572385,150.29890244968396,2.0981506325994475,2,0.3958441030672153,0.7916882061344306,0.0,0.0,0.0,0.0,76.1626680643641,31.39311945227921,True,False,True,False,False,20.0
2025-10-07 15:00:00+00:00,165.105,165.105,161.29,161.77,38733.0,124.85110645390043,131.33949209923955,133.9071193022061,138.77846014911736,146.26723858241283,149.38883323581143,151.0009867937779,153.03840433469693,,144.77151992516502,152.12463311134724,150.31878293116426,"rgba(38, 166, 154, 1.0)",7.148482270088556,150.31878293116426,1.6019088578775877,2,0.3927946027803294,0.7855892055606588,0.0,0.0,0.0,0.0,68.8133898789805,24.52514568967979,True,False,True,False,False,15.353950773814233
2025-10-07 16:00:00+00:00,161.68,162.825,161.1,161.94,28528.0,124.89580454497217,131.38883394705627,133.95750727612932,138.82925323693934,146.31607746867707,149.46177646681156,151.0825533316976,153.16240670832047,,144.82128589395617,152.230892771123,150.3572148447736,"rgba(38, 166, 154, 1.0)",7.251383579070654,150.3572148447736,1.5973207083758838,2,0.3895326671349401,0.7790653342698802,0.0,0.0,0.0,0.0,64.13728771832602,20.396218343244655,True,False,True,False,False,15.546572887504535
