date,Open,High,Low,Close,Volume,aVWAP_BoS_CHoCH_bull_59,aVWAP_BoS_CHoCH_bull_194,aVWAP_BoS_CHoCH_bull_269,Peaks_Valleys_avg,color,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index
2025-02-20 17:00:00+00:00,45.89,46.36,45.855,46.21,36648.0,41.77843677241739,43.708576675059646,44.164493046921955,41.912485462871956,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-21 17:00:00+00:00,46.575,46.77,46.16,46.34,54596.0,41.81469116032978,43.74471923475841,44.27765508010512,41.95558543957263,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-24 17:00:00+00:00,46.12,46.28,45.84,45.99,53801.0,41.84691684434927,43.774399070822255,44.36040844480897,41.99208384653695,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-25 17:00:00+00:00,44.305,44.74,43.93,44.08,90283.0,41.87730773882063,43.784514370575316,44.35232986541381,42.01656273011033,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-26 17:00:00+00:00,44.74,44.84,44.16,44.405,58783.0,41.89846847311836,43.793854441841276,44.35760504276439,42.03492889848156,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-27 17:00:00+00:00,44.14,44.22,43.085,43.095,84403.0,41.91664467045111,43.78756115616975,44.3029977711082,42.132538215412886,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-02-28 17:00:00+00:00,44.525,45.265,44.34,45.175,73394.0,41.94667908756464,43.806300018633486,44.33455570677184,42.20221491672934,"rgba(239, 83, 80, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-03 17:00:00+00:00,46.785,47.05,46.165,46.515,132770.0,42.02877082473653,43.886360890026744,44.5225794835582,42.358279046002075,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-04 17:00:00+00:00,46.185,46.74,45.53,45.53,152906.0,42.106904425848654,43.95229358447192,44.646828162178444,42.449732885473026,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
2025-03-05 17:00:00+00:00,47.145,48.085,47.01,47.535,155290.0,42.21518748777755,44.066042890964496,44.88463712230677,42.88874088932875,"rgba(38, 166, 154, 1.0)",0,,,0.0,0.0,0.0,0.0
