date,Open,High,Low,Close,Volume,Peaks_Valleys_avg,color
2025-07-01 17:00:00+00:00,62.995,63.005,62.96,63.005,2742.0,62.749613049144294,#000000
2025-07-01 17:05:00+00:00,63.005,63.005,62.955,62.965,329.0,62.74970800449032,#000000
2025-07-01 17:10:00+00:00,62.965,62.965,62.945,62.955,0.0,62.74970800449032,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:15:00+00:00,62.955,62.97,62.91,62.925,1200.0,62.748192285497566,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:20:00+00:00,62.925,62.94,62.915,62.915,290.0,62.747797908973375,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:25:00+00:00,62.915,62.925,62.905,62.915,200.0,62.77141440366058,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:30:00+00:00,62.92,62.94,62.915,62.915,1714.0,62.77119691096919,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:35:00+00:00,62.915,62.93,62.91,62.915,422.0,62.77082446608306,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:40:00+00:00,62.915,62.94,62.915,62.935,238.0,62.77087681410352,"rgba(239, 83, 80, 1.0)"
2025-07-01 17:45:00+00:00,62.935,62.955,62.93,62.955,202.0,62.771177430391184,"rgba(239, 83, 80, 0.75)"
2025-07-01 17:50:00+00:00,62.955,62.975,62.955,62.965,324.0,62.77202764235536,"rgba(239, 83, 80, 0.75)"
2025-07-01 17:55:00+00:00,62.965,62.97,62.945,62.955,206.0,62.77238653434057,#000000
2025-07-01 18:00:00+00:00,62.955,62.965,62.945,62.965,493.0,62.77318987624619,#000000
2025-07-01 18:05:00+00:00,62.965,62.965,62.935,62.945,80.0,62.77325851505186,#000000
2025-07-01 18:10:00+00:00,62.95,62.955,62.92,62.93,5.0,62.77325863437921,"rgba(239, 83, 80, 0.75)"
2025-07-01 18:15:00+00:00,62.935,62.94,62.92,62.92,433.0,62.77306876111677,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:20:00+00:00,62.925,62.94,62.925,62.935,1618.0,62.77315843604578,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:25:00+00:00,62.935,62.945,62.925,62.925,2603.0,62.773457907863026,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:30:00+00:00,62.925,62.95,62.915,62.935,436.0,62.773566484733024,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:35:00+00:00,62.93,62.935,62.915,62.935,963.0,62.773669915089265,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:40:00+00:00,62.935,62.935,62.915,62.93,56.0,62.77367432018036,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:45:00+00:00,62.925,62.935,62.905,62.915,267.0,62.791715217519354,"rgba(239, 83, 80, 1.0)"
2025-07-01 18:50:00+00:00,62.915,62.935,62.915,62.935,419.0,62.79253745004358,"rgba(239, 83, 80, 1.0)"
