date,Close,High,Low,Open,Volume,aVWAP_peak_163,aVWAP_peak_149,aVWAP_peak_135,aVWAP_peak_105,aVWAP_peak_83,aVWAP_peak_44,aVWAP_valley_171,Peaks_avg,Valleys_avg,color
2023-06-09 00:00:00+00:00,35.71,37.73,35.62,37.65,343417,,,,,,42.904591696507445,,42.904591696507445,,"rgba(255, 0, 0, 1.0)"
2023-06-16 00:00:00+00:00,36.59,36.91,34.3561,35.64,443749,,,,,,42.62917645259613,,42.62917645259613,,"rgba(239, 83, 80, 1.0)"
2023-06-23 00:00:00+00:00,35.12,37.05,35.0,36.5,335108,,,,,,42.428587960318765,,42.428587960318765,,"rgba(239, 83, 80, 1.0)"
2023-06-30 00:00:00+00:00,43.68,45.88,34.74,35.0,911657,,,,,,42.35570252228489,,42.35570252228489,,#000000
2023-07-07 00:00:00+00:00,43.39,44.9756,42.87,43.88,281425,,,,,,42.38642009410835,,42.38642009410835,,#000000
2023-07-14 00:00:00+00:00,45.0,45.66,43.025,43.23,330136,,,,,,42.44140565472261,,42.44140565472261,,#000000
2023-07-21 00:00:00+00:00,44.73,46.5699,44.33,45.0,310859,,,,,,42.50577052723331,,42.50577052723331,,#000000
2023-07-28 00:00:00+00:00,46.46,46.5,44.43,44.99,257608,,,,,,42.56797439214181,,42.56797439214181,,"rgba(38, 166, 154, 0.5)"
2023-08-04 00:00:00+00:00,48.36,48.7599,46.39,46.39,281343,,,,,47.83663333333334,42.674537294793865,,45.2555853140636,,"rgba(38, 166, 154, 0.5)"
2023-08-11 00:00:00+00:00,46.65,48.3,45.39,48.2,207563,,,,,47.3880440655259,42.7348973088104,,45.06147068716815,,"rgba(38, 166, 154, 0.5)"
2023-08-18 00:00:00+00:00,45.07,46.995,44.74,46.4,134907,,,,,47.00171865110218,42.76203257881196,,44.88187561495707,,#000000
2023-08-25 00:00:00+00:00,44.54,45.17,43.5772,45.0,131272,,,,,46.55446149290036,42.777246521263685,,44.66585400708202,,#000000
2023-09-01 00:00:00+00:00,41.92,44.8942,41.695,44.59,307832,,,,,45.47767157846442,42.77848595370581,,44.12807876608511,,#000000
2023-09-08 00:00:00+00:00,41.96,42.03,40.37,41.55,306028,,,,,44.57802974882117,42.751446218736646,,43.664737983778906,,#000000
2023-09-15 00:00:00+00:00,42.5,42.63,41.3236,42.09,333270,,,,,44.10289026856184,42.73839785517148,,43.42064406186666,,#000000
2023-09-22 00:00:00+00:00,41.77,43.17,41.44,42.72,320825,,,,,43.78948967486225,42.72585880319111,,43.257674239026684,,#000000
2023-09-29 00:00:00+00:00,42.92,43.78,41.7,41.7,348325,,,,,43.64414554142164,42.72747286821015,,43.1858092048159,,#000000
2023-10-06 00:00:00+00:00,41.06,43.13,40.92,42.9,258361,,,,,43.45346781191906,42.71119842469696,,43.082333118308014,,#000000
2023-10-13 00:00:00+00:00,40.05,42.54,39.72,40.515,241438,,,,,43.227813303303705,42.682793491698995,,42.95530339750135,,"rgba(239, 83, 80, 0.5)"
2023-10-20 00:00:00+00:00,38.63,40.79,38.07,40.46,274192,,,,,42.87349795969041,42.62526389282653,,42.74938092625847,,"rgba(239, 83, 80, 0.5)"
2023-10-27 00:00:00+00:00,37.69,39.1599,36.94,38.58,338761,,,,,42.3928379806036,42.53231726898819,,42.4625776247959,,"rgba(239, 83, 80, 1.0)"
2023-11-03 00:00:00+00:00,35.93,39.5,32.19,37.88,724380,,,,,41.2706799331131,42.26189248305511,,41.766286208084104,,"rgba(239, 83, 80, 1.0)"
2023-11-10 00:00:00+00:00,37.83,38.3,34.43,35.22,415929,,,,,40.873376018227276,42.13864948656986,,41.50601275239857,,"rgba(239, 83, 80, 0.5)"
2023-11-17 00:00:00+00:00,38.91,39.25,36.28,37.58,408218,,,,,40.652201653802656,42.051324879765204,,41.351763266783934,,"rgba(239, 83, 80, 0.5)"
2023-11-24 00:00:00+00:00,40.07,40.41,38.85,39.18,143287,,,,,40.627963930830354,42.03399255266798,,41.330978241749165,,#000000
2023-12-01 00:00:00+00:00,39.3,40.26,38.66,39.93,263623,,,,,40.56877487807518,41.997669270494995,,41.28322207428509,,#000000
2023-12-08 00:00:00+00:00,39.93,41.09,37.89,39.35,321757,,,,,40.51671861140633,41.95849100498635,,41.23760480819634,,#000000
2023-12-15 00:00:00+00:00,40.32,41.0,38.34,39.94,332664,,,,,40.482324705926764,41.923545467191715,,41.202935086559236,,#000000
2023-12-22 00:00:00+00:00,41.61,42.33,39.79,40.38,329146,,,,,40.521321783153915,41.912379972542915,,41.216850877848415,,#000000
2023-12-29 00:00:00+00:00,43.53,43.67,41.2,41.2,304981,,,,,40.62461295817652,41.925678059614604,,41.27514550889556,,#000000
2024-01-05 00:00:00+00:00,40.66,44.96,39.0,43.38,1042817,,,,41.54,40.74745314848004,41.90688377069752,,41.39811230639252,,#000000
2024-01-12 00:00:00+00:00,41.07,42.205,38.17,40.33,499385,,,,41.19729794691832,40.73140418797988,41.874383192659124,,41.26769510918577,,#000000
2024-01-19 00:00:00+00:00,41.5,41.99,39.62,41.07,329115,,,,41.16904716749398,40.743087123847175,41.861979785755096,,41.258038025698745,,#000000
2024-01-26 00:00:00+00:00,42.44,43.0,41.655,41.88,315711,,,,41.34169034568068,40.80052383380463,41.86902422471954,,41.33707946806828,,#000000
2024-02-02 00:00:00+00:00,40.68,43.08,40.4,42.2,299271,,,,41.34710405841507,40.81956094231917,41.8627047986702,,41.34312326646815,,#000000
2024-02-09 00:00:00+00:00,40.23,40.735,38.83,40.29,254786,,,,41.21553804302554,40.79567050368738,41.841404134619644,,41.284204227110855,,#000000
2024-02-16 00:00:00+00:00,39.86,40.95,38.72,40.32,368895,,,,41.05277189778284,40.759961061495524,41.80999477341558,,41.20757591089798,,#000000
2024-02-23 00:00:00+00:00,37.69,39.71,37.6,39.44,348306,,,,40.77887992683852,40.6769867041978,41.75914720594992,,41.07167127899541,,"rgba(239, 83, 80, 0.5)"
2024-03-01 00:00:00+00:00,38.29,39.67,37.67,37.83,301640,,,,40.5995332390407,40.61562195547788,41.718925500726726,,40.9780268984151,,"rgba(239, 83, 80, 0.5)"
2024-03-08 00:00:00+00:00,39.7,40.64,37.07,38.25,379201,,,,40.46551452758033,40.5640153017051,41.67895179842074,,40.90282720923539,,#000000
2024-03-15 00:00:00+00:00,39.25,39.82,38.49,39.37,245847,,,,40.393814921137505,40.53354515735637,41.65418722673036,,40.86051576840808,,#000000
2024-03-22 00:00:00+00:00,39.72,40.91,38.71,39.24,276922,,,,40.35735360677287,40.515224413835135,41.63344263982208,,40.83534022014336,,#000000
2024-03-29 00:00:00+00:00,39.26,40.09,34.16,40.0,642891,,,,40.051869720688124,40.37211491879742,41.538323511940916,,40.65410271714216,,#000000
2024-04-05 00:00:00+00:00,38.07,39.45,36.6101,39.45,703784,,,,39.816613731639904,40.24343643581544,41.445031083625814,,40.50169375036038,,"rgba(239, 83, 80, 0.5)"
2024-04-12 00:00:00+00:00,38.94,40.71,37.91,38.13,677006,,,,39.752822985879405,40.19009987734164,41.388493039860755,,40.44380530102726,,#000000
2024-04-19 00:00:00+00:00,39.48,39.91,37.38,39.24,598751,,,,39.6846413006297,40.13597095502113,41.33509384974491,,40.385235368465246,,#000000
2024-04-26 00:00:00+00:00,39.54,40.78,38.36,39.58,494859,,,,39.6767124682995,40.11632397543516,41.303873355541405,,40.36563659975869,,#000000
2024-05-03 00:00:00+00:00,39.53,40.13,38.68,39.5,407999,,,,39.665248400300996,40.098005890506435,41.277327063609306,,40.346860451472246,,#000000
2024-05-10 00:00:00+00:00,38.46,40.225,38.32,39.89,200853,,,,39.64935882444833,40.08343848060163,41.261426041264045,,40.33140778210467,,"rgba(239, 83, 80, 0.5)"
2024-05-17 00:00:00+00:00,38.19,39.395,37.8654,38.72,244889,,,,39.61628613293196,40.05793136958481,41.237959440295725,,40.3040589809375,,"rgba(239, 83, 80, 0.5)"
2024-05-24 00:00:00+00:00,37.45,38.16,36.51,38.16,289931,,,,39.543405731242274,40.008199714560654,41.199691482024356,,40.25043230927576,,"rgba(239, 83, 80, 0.5)"
2024-05-31 00:00:00+00:00,37.0,37.91,36.02,37.54,246419,,,,39.474426115447706,39.96120911975013,41.16444699143254,,40.20002740887679,,"rgba(239, 83, 80, 0.5)"
2024-06-07 00:00:00+00:00,35.75,37.26,35.67,37.1,224286,,,,39.39688079018784,39.90925384486524,41.127221466619105,,40.14445203389073,,"rgba(239, 83, 80, 1.0)"
2024-06-14 00:00:00+00:00,34.47,35.87,33.81,35.45,171644,,,,39.31289613736925,39.854551857754295,41.0904481588659,,40.08596538466315,,"rgba(255, 0, 0, 1.0)"
2024-06-21 00:00:00+00:00,33.95,34.645,33.75,34.3,288466,,,,39.160727889549975,39.754703351406185,41.023842917958326,,39.9797580529715,,"rgba(255, 0, 0, 1.0)"
2024-06-28 00:00:00+00:00,38.0,39.95,33.95,34.1,726996,,,,39.03287759908715,39.651601899861326,40.936336925850746,,39.87360547493307,,"rgba(239, 83, 80, 0.5)"
2024-07-05 00:00:00+00:00,37.99,39.22,36.39,38.0,296350,,,,39.001103582874734,39.6215557828076,40.907211601113296,,39.843290322265204,,"rgba(239, 83, 80, 0.5)"
2024-07-12 00:00:00+00:00,40.16,40.55,37.87,38.0,334034,,,,39.016762765243435,39.6197889108867,40.89260344534267,,39.8430517071576,,#000000
2024-07-19 00:00:00+00:00,41.03,42.49,40.25,40.52,343036,,,,39.083264555927826,39.650502295683864,40.896517048881414,,39.87676130016437,,#000000
2024-07-26 00:00:00+00:00,42.77,43.1,40.4924,41.02,350108,,,,39.17259988614102,39.69692012862251,40.90980338650232,,39.92644113375528,,"rgba(38, 166, 154, 0.5)"
2024-08-02 00:00:00+00:00,41.34,44.455,40.602,43.14,476632,,,42.132333333333335,39.28654246288282,39.75766637370767,40.927602350473634,,40.52603613009937,,#000000
2024-08-09 00:00:00+00:00,38.34,40.62,38.02,39.97,330543,,,40.84689402091657,39.278917934414594,39.744669884030635,40.908267807830526,,40.19468741179808,,"rgba(239, 83, 80, 0.5)"
2024-08-16 00:00:00+00:00,38.76,39.79,37.28,38.72,458504,,,40.036558338515,39.25562982408518,39.71852397843351,40.876837218307784,,39.97188733983537,,#000000
2024-08-23 00:00:00+00:00,40.04,40.28,38.17,39.0,417415,,,39.90266273779124,39.26303471342194,39.7139655352258,40.859865106036374,,39.93488202311884,,#000000
2024-08-30 00:00:00+00:00,40.26,40.33,39.15,40.31,146700,,,39.90351823101398,39.26998089538716,39.7153948735908,40.855791983213045,,39.93617149580125,,#000000
2024-09-06 00:00:00+00:00,39.0,41.41,38.694,39.84,267591,,,39.87772284344553,39.27822467969516,39.7152133589359,40.846800808015004,,39.9294904225229,,#000000
2024-09-13 00:00:00+00:00,39.28,39.57,36.93,39.06,258780,,,39.736657036328104,39.2657960912636,39.70138099372837,40.829955078347986,,39.883447299917016,,#000000
2024-09-20 00:00:00+00:00,41.43,41.96,39.02,39.49,299540,,,39.856968674106,39.29742775154936,39.71688638297481,40.82972669868933,,39.925252376829874,,#000000
2024-09-27 00:00:00+00:00,40.99,41.76,40.53,41.28,170540,,,39.931572832268024,39.31821964069468,39.727825580525916,40.8310079450877,,39.952156499644076,,#000000
2024-10-04 00:00:00+00:00,40.75,41.59,40.282,41.03,147176,,,39.97822033386235,39.33361010943576,39.73563320547676,40.831187524850804,,39.969662793406414,,#000000
2024-10-11 00:00:00+00:00,40.85,41.24,39.745,40.49,146744,,,40.008011850869,39.34609297685811,39.741543002560846,40.83027705964571,,39.98148122248342,,#000000
2024-10-18 00:00:00+00:00,40.98,42.198,40.46,40.59,124141,,,40.054107087720254,39.36138942622542,39.749891041684734,40.83161404730631,,39.99925040073418,,#000000
2024-10-25 00:00:00+00:00,38.99,41.13,38.92,41.13,128034,,,40.03990376691951,39.36405972928772,39.74948438065183,40.82747619411913,,39.995231017744544,,#000000
2024-11-01 00:00:00+00:00,39.69,40.975,39.15,39.42,134980,,,40.03599480591068,39.36908943830626,39.75063574782222,40.82412081365512,,39.994960201423574,,#000000
2024-11-08 00:00:00+00:00,38.98,44.16,35.58,39.52,515290,,39.57333333333333,39.97672860058519,39.375697469034606,39.74660297253589,40.806357495134286,,39.89574397412466,,#000000
2024-11-15 00:00:00+00:00,35.86,40.15,35.82,38.88,335958,,38.6669188219336,39.76860808779397,39.33233546097878,39.710510604842455,40.7739751873281,,39.65046963257538,,"rgba(255, 0, 0, 1.0)"
2024-11-22 00:00:00+00:00,36.26,36.45,35.13,35.67,283551,,37.9872123550808,39.53515536676246,39.27431591667197,39.664655895751174,40.736883846744945,,39.43964467620227,,"rgba(239, 83, 80, 1.0)"
2024-11-29 00:00:00+00:00,36.38,38.025,36.38,36.47,221434,,37.814327742111175,39.41646867204559,39.243334999352825,39.63886773431322,40.7141673079709,,39.36543329115874,,"rgba(239, 83, 80, 1.0)"
2024-12-06 00:00:00+00:00,36.18,37.52,35.78,36.43,337941,,37.55082578098039,39.226552605719306,39.18900581389711,39.59426698627446,40.67609213875862,,39.24734866512598,,"rgba(239, 83, 80, 1.0)"
2024-12-13 00:00:00+00:00,36.35,37.86,35.89,36.39,328154,,37.412766137177876,39.07661569404297,39.14215572620827,39.55495867849175,40.64156590689073,,39.16561242856231,,"rgba(239, 83, 80, 1.0)"
2024-12-20 00:00:00+00:00,36.41,38.29,35.77,36.5,491732,,37.297477332813585,38.89260288604938,39.078546107991606,39.50047482073804,40.59252129442276,,39.072324488403076,,"rgba(239, 83, 80, 1.0)"
2024-12-27 00:00:00+00:00,37.0,37.31,36.0725,36.2,204678,,37.259585994801014,38.8236180278115,39.0527570504465,39.4781917021041,40.572321295303574,,39.037294814093336,,"rgba(239, 83, 80, 1.0)"
2025-01-03 00:00:00+00:00,37.06,38.125,36.01,36.89,315109,,37.23937541785506,38.738899755349465,39.01879946075342,39.447984562815016,40.543838685866305,,38.997779576527854,,"rgba(239, 83, 80, 1.0)"
2025-01-10 00:00:00+00:00,31.25,37.52,30.17,37.06,550455,,36.58524680491022,38.29189127621298,38.84380899668454,39.309578978996015,40.43803767696342,,38.693712746753434,,"rgba(255, 26, 202, 1.0)"
2025-01-17 00:00:00+00:00,33.16,33.49,28.987,30.67,855885,,35.678076443251896,37.60127251363227,38.543528716067456,39.0703100825199,40.25584881518973,,38.22980731413225,,"rgba(255, 26, 202, 1.0)"
2025-01-24 00:00:00+00:00,35.12,35.24,33.15,33.24,488080,,35.56173359553503,37.42202687783712,38.44657889273329,38.987959730911626,40.18685816418282,,38.12103145223998,,"rgba(255, 0, 0, 1.0)"
2025-01-31 00:00:00+00:00,37.91,38.435,34.75,35.13,596829,,35.72051792885891,37.39623330339671,38.40624473703022,38.94575534199832,40.14125507521328,,38.12200127729949,,#000000
2025-02-07 00:00:00+00:00,37.77,38.86,36.3,37.29,746597,,35.94941437078207,37.41509861639411,38.379976147693256,38.91153008938844,40.096894040329055,,38.150582652917386,,"rgba(239, 83, 80, 0.5)"
2025-02-14 00:00:00+00:00,34.67,39.22,34.65,37.92,689177,36.18,35.97224403319317,37.33378546109691,38.31220631634853,38.84684019198759,40.033718729199464,,37.77979912197094,,"rgba(255, 0, 0, 1.0)"
2025-02-21 00:00:00+00:00,32.8,34.75,32.79,34.75,460304,35.085450140831675,35.81559316311228,37.17006149972113,38.21411769136698,38.76275173771944,39.963515484363654,,37.50191495285253,,"rgba(255, 26, 202, 1.0)"
2025-02-28 00:00:00+00:00,31.98,33.38,30.75,33.0,616299,34.02135257129049,35.525831863654986,36.89602400920773,38.051758599281875,38.62538663422174,39.85199363661813,,37.16205788571249,,"rgba(255, 26, 202, 1.0)"
2025-03-07 00:00:00+00:00,31.82,32.1299,30.415,32.08,470568,33.481338636801304,35.30067793056788,36.68293116317798,37.921980320922025,38.51529111393742,39.762750363710964,,36.94416158818626,,"rgba(255, 26, 202, 1.0)"
2025-03-14 00:00:00+00:00,30.6,32.55,29.32,31.76,487537,33.005593173377974,35.05801746418073,36.45444247622165,37.78018331826395,38.39484498668034,39.66538861690319,,36.726411672604634,,"rgba(255, 26, 202, 1.0)"
2025-03-21 00:00:00+00:00,28.49,30.884,27.97,30.51,898724,32.0403029546937,34.51816816484207,35.962230960729975,37.47243167112546,38.134486015322544,39.45773133825389,,36.264225184161276,,"rgba(255, 26, 202, 1.0)"
2025-03-28 00:00:00+00:00,28.03,29.52,27.14,28.88,973455,31.233273622038336,33.95491958089726,35.43861784270094,37.13006715298653,37.842382482404865,39.22337031868562,,35.803771833285595,,"rgba(255, 26, 202, 1.0)"
2025-04-04 00:00:00+00:00,20.65,28.39,19.5385,27.58,1679537,28.9922033838512,32.46972542535731,34.12266631349094,36.27280806971699,37.116912770805534,38.65453360792268,,34.604808261857436,,"rgba(255, 26, 202, 1.0)"
2025-04-11 00:00:00+00:00,20.21,21.71,18.94,20.21,1277863,27.51943760830351,31.3436420098448,33.10258637819434,35.57409323255694,36.51891799448944,38.18125378533545,20.28666666666667,33.70665516812075,20.28666666666667,"rgba(255, 26, 202, 1.0)"
2025-04-18 00:00:00+00:00,20.37,21.0,19.35,20.35,545781,27.028900683281794,30.92194672177278,32.709921989075596,35.29308696703747,36.27557128524577,37.98595801757114,20.272700245588872,33.36923094399742,20.272700245588872,"rgba(255, 26, 202, 1.0)"
2025-04-25 00:00:00+00:00,20.78,21.4415,19.4,20.12,477330,26.66778819978449,30.588212446252985,32.39346085483977,35.06037374371937,36.07250963499457,37.82144215586054,20.32825448339124,33.100631172575284,20.32825448339124,"rgba(255, 26, 202, 1.0)"
2025-05-02 00:00:00+00:00,21.19,21.27,20.06,20.7,426707,26.39158247620886,30.315895765649366,32.130982674138956,34.86263420342516,35.89878549101227,37.67948242202723,20.40830981029918,32.87989383874364,20.40830981029918,"rgba(255, 26, 202, 1.0)"
2025-05-09 00:00:00+00:00,21.1,21.79,20.1,20.92,326036,26.203043853034057,30.1211388887703,31.94100334764455,34.716860713239484,35.77004818365209,37.57359837226462,20.471126867682894,32.72094889310085,20.471126867682894,"rgba(255, 26, 202, 1.0)"
2025-05-16 00:00:00+00:00,23.62,23.81,21.62,22.0,525272,26.03320272139514,29.8897290633909,31.702244105283857,34.5219902995657,35.59498386552558,37.42625471353569,20.8447242107571,32.528067461449474,20.8447242107571,"rgba(255, 0, 0, 1.0)"
2025-05-23 00:00:00+00:00,22.87,24.045,22.65,23.37,362569,25.9322488800034,29.742373847366686,31.54787055245208,34.39317572241221,35.47853434930329,37.32746973560941,21.06030394241736,32.40361218119118,21.06030394241736,"rgba(255, 0, 0, 1.0)"
