date,Open,High,Low,Close,Volume,aVWAP_OB_bull_823,aVWAP_OB_bull_735,aVWAP_OB_bull_643,aVWAP_OB_bull_595,aVWAP_OB_bull_186,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,Supertrend_Upper,Supertrend_Lower,Supertrend_Direction,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-04-17 17:00:00+00:00,10.86,10.945,10.825,10.9,4294.0,,,,,10.02444351720493,10.474949540938953,"rgba(38, 166, 154, 0.5)",0.6292679645199959,10.474949540938953,0.6754681360352979,54.306448190851455,8.309122453710202,False,True,True,False,False,6.802542736608753,10.3391,10.384925,11.274583333333334,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.962044926413633,0.9641750580945007,False,False,False,False,0.2128327913973934,0.20575891233673566,False,False,False,False,-83376.0,-108791.7816547196,False,False,False,False,10347.264227820411,False,False,False,False
2025-04-17 18:00:00+00:00,10.9,10.945,10.89,10.91,3331.0,,,,,10.025267934437784,10.477206416754631,"rgba(38, 166, 154, 0.5)",0.6350358009344323,10.477206416754631,0.6815262739652291,55.00893466976554,8.309122453710202,False,True,True,False,False,6.928182803331197,10.375599999999999,10.390699999999999,11.306041666666667,10.696666666666667,1,0.0,0.0,0.0,0.0,1,0.9652764306498548,0.9604267701260915,False,False,False,False,0.2225340812037397,0.21414649677023767,False,False,False,False,-80045.0,-108346.09511743711,False,False,False,False,10238.484937466606,False,False,False,False
2025-04-17 19:00:00+00:00,10.915,10.92,10.805,10.835,13609.0,,,,,10.028387990147221,10.48250080361555,"rgba(38, 166, 154, 0.5)",0.6385519936924604,10.48250080361555,0.5520289653252927,53.36455609241556,7.681094287044296,False,True,True,False,False,5.789119039615027,10.4057,10.396849999999999,11.259375,10.696666666666667,1,0.0,0.0,0.0,0.0,1,0.9630131680867546,0.9593338497288926,False,False,False,False,0.2061396637803548,0.21014308027529624,False,False,False,False,-93654.0,-108118.31069701174,False,False,False,False,10290.740984947744,False,False,False,False
2025-04-18 14:00:00+00:00,10.835,10.835,10.835,10.835,0.0,,,,,10.028387990147221,10.48250080361555,#000000,0.6422510244276343,10.48250080361555,0.548849566567207,52.26830370751557,6.439264772539694,False,True,False,False,False,5.789119039615027,10.4401,10.403400000000001,11.173541666666667,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9623854999025533,0.9676476320405383,False,False,False,False,0.19798377289895938,0.2040634265871278,False,False,False,False,-93654.0,-107894.0578179883,False,False,False,False,10131.19461308809,False,False,False,False
2025-04-18 15:00:00+00:00,10.835,10.835,10.835,10.835,0.0,,,,,10.028387990147221,10.48250080361555,#000000,0.6458000136711248,10.48250080361555,0.5458333677954407,51.537468784248915,5.521505536051791,False,True,False,False,False,5.789119039615027,10.473600000000001,10.409775,11.121458333333335,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9609497645211933,0.9689952904238621,False,False,False,False,0.19798377289895938,0.2010235997430436,False,False,False,False,-93654.0,-107673.28172778693,False,False,False,False,9974.121828389048,False,False,False,False
2025-04-18 16:00:00+00:00,10.835,10.835,10.835,10.835,0.0,,,,,10.028387990147221,10.48250080361555,#000000,0.6496217055797379,10.48250080361555,0.5426222574719437,51.05024550207114,4.804011551558077,False,True,False,False,False,5.789119039615027,10.4972,10.416625000000002,11.090208333333335,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9571061474599725,0.9727218817948213,False,False,False,False,0.19798377289895938,0.1995036863210015,False,False,False,False,-93654.0,-107455.92852270495,False,False,False,False,9819.484280662085,False,False,False,False
2025-04-18 17:00:00+00:00,10.835,10.835,10.835,10.835,0.0,,,,,10.028387990147221,10.48250080361555,#000000,0.652858234131914,10.48250080361555,0.5399322210482025,50.725429980619296,4.214153690789743,False,True,False,False,False,5.789119039615038,10.521099999999999,10.423075,11.051666666666668,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9539865132883778,0.9716382387941296,False,False,False,False,0.20515857450032557,0.20233113041066353,False,False,False,False,-93654.0,-107241.94513475604,False,False,False,False,9667.244214295231,False,False,False,False
2025-04-18 18:00:00+00:00,10.835,10.835,10.835,10.835,0.0,,,,,10.028387990147221,10.48250080361555,#000000,0.656161695903638,10.48250080361555,0.5372139193510904,50.5088862996514,3.7100883323492653,False,True,False,False,False,5.789119039615038,10.5493,10.429274999999997,11.02875,10.696666666666667,1,0.0,0.0,0.0,0.0,1,0.9561490930835163,0.9706996212876224,False,False,False,False,0.20515857450032557,0.20374485245549456,False,False,False,False,-93654.0,-107031.2793187133,False,False,False,False,9517.36445903484,False,False,False,False
2025-04-18 19:00:00+00:00,10.835,10.835,10.835,10.835,0.0,,,,,10.028387990147221,10.48250080361555,#000000,0.659672611948474,10.48250080361555,0.5343547541609699,50.3645238456728,3.2681001688781564,False,True,False,False,False,5.789119039615038,10.5771,10.434975,10.999583333333334,10.696666666666667,1,0.0,0.0,0.0,0.0,0,0.9593593593593595,0.9665665665665668,False,False,False,False,0.20515857450032557,0.20445171347791008,False,False,False,False,-93654.0,-106823.87963935341,False,False,False,False,9369.808420910267,False,False,False,False
2025-04-21 14:00:00+00:00,10.685,10.785,10.575,10.605,21908.0,,,,,10.032165856942568,10.477598074043204,"rgba(239, 83, 80, 1.0)",0.6605631163110741,10.477598074043204,0.1928686643424396,42.92342371970489,-3.735513451496381,False,True,False,True,False,2.0070517343542313,10.602700000000002,10.438974999999997,10.847708333333333,10.696666666666667,-1,0.0,0.0,0.0,0.0,0,0.9518982309679985,0.9650168952494537,False,False,False,False,0.15893130979275424,0.18169151163533215,False,False,False,False,-115562.0,-106959.35437362701,False,False,False,False,9564.198988027936,False,False,False,False
2025-04-21 15:00:00+00:00,10.605,10.61,10.45,10.57,15530.0,,,,,10.034341199820899,10.471348216814889,"rgba(239, 83, 80, 1.0)",0.6607459407352915,10.471348216814889,0.14930365379971913,37.30789830438676,-8.643137474854889,False,True,False,True,False,1.4513069092608575,10.628499999999999,10.443025,10.700833333333334,10.359166666666665,-1,0.0,0.0,0.0,0.0,0,0.9468570295459053,0.9730319254412061,False,False,False,False,0.11482991379291171,0.14826071271412194,False,False,False,False,-131092.0,-107333.50391822193,False,False,False,False,9656.69202697324,False,False,False,False
2025-04-21 16:00:00+00:00,10.57,10.585,10.43,10.44,8940.0,,,,,10.035442525568461,10.467216208874415,"rgba(239, 83, 80, 1.0)",0.6604570353137761,10.467216208874415,-0.041208144389718766,31.59594704812389,-13.49279528346765,False,True,False,True,False,0.0,10.647600000000002,10.443975,10.687708333333335,10.327291666666666,-1,0.0,0.0,0.0,0.0,0,0.951516360734238,0.9698723064644855,False,False,False,False,0.10825698184413647,0.1282588472791292,False,False,False,False,-140032.0,-107840.4573458464,False,False,False,False,9645.58052267908,False,False,False,False
2025-04-21 17:00:00+00:00,10.44,10.51,10.38,10.45,6649.0,,,,,10.036188590654632,10.461991528764468,"rgba(239, 83, 80, 1.0)",0.6605630140232365,10.461991528764468,-0.018153497107615713,28.29938490097955,-16.10428371613782,False,True,False,True,False,0.0,10.6645,10.444924999999998,10.627291666666668,10.262708333333332,-1,0.0,0.0,0.0,0.0,0,0.9475886807493029,0.9730968513351935,False,False,False,False,0.09004584512589106,0.10915234620251013,False,False,False,False,-133383.0,-108236.46575908909,False,False,False,False,9599.121909924366,False,False,False,False
