date,Close,High,Low,Open,Volume,aVWAP_peak_133,aVWAP_peak_113,aVWAP_peak_103,aVWAP_peak_83,aVWAP_peak_57,aVWAP_valley_171,Peaks_avg,Valleys_avg,color,banker_RSI,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-02-23 00:00:00+00:00,1.88,1.93,1.58,1.79,23432356,,,1.7518209766012247,1.4752370177166725,1.4439764127784092,,1.5570114690321022,,"rgba(38, 166, 154, 1.0)",2.005399200685712,1.0355781448538757,0.9135959339263025,False,False,False,False,0.09771050604329584,0.08858166339298167,False,False,False,False,-130712205,-151914897.4313799,False,False,False,False,14078573.738436595,False,False,False,False
2024-03-01 00:00:00+00:00,1.79,2.055,1.65,1.99,12771870,,1.8316666666666668,1.7602997133490452,1.4843019289244441,1.4501962884825907,,1.6316161493556867,,"rgba(38, 166, 154, 0.5)",0.647439883749449,1.0391038696537678,0.9095723014256619,False,False,False,False,0.33631630942952445,0.21244898641125307,False,False,False,False,-143484075,-151290392.06609252,False,False,False,False,13981780.868922772,False,False,False,False
2024-03-08 00:00:00+00:00,1.79,1.82,1.69,1.81,8157012,,1.8063329780348516,1.7607040936532412,1.488815073384353,1.4534060973116159,,1.6273145605960155,,"rgba(38, 166, 154, 0.5)",0.647439883749449,1.0594304581097813,0.943871234007429,False,False,False,False,0.10154746157672145,0.15699822399398727,False,False,False,False,-143484075,-150712146.35749307,False,False,False,False,13550316.508261826,False,False,False,False
2024-03-15 00:00:00+00:00,1.56,1.81,1.54,1.78,9085352,,1.7549747404292688,1.7525093108405463,1.491401153378726,1.4554532354152885,,1.6135846100159574,,#000000,0.0,1.0227365002030044,0.954526999593991,False,False,False,False,-0.08675038387765353,0.03512392005816687,True,False,False,False,-152569427,-150849722.7013825,False,False,False,False,13219578.396538729,False,False,False,False
2024-03-22 00:00:00+00:00,1.58,1.655,1.53,1.55,19052542,,1.6902681779350381,1.732531188457808,1.494830808522281,1.4584947715208263,,1.5940312366089882,,#000000,0.0,1.0229414174518638,0.9795165915608357,False,False,False,False,-0.287826773479904,-0.12635142671086855,False,False,False,False,-133516885,-149565808.7975764,False,False,False,False,13651649.774572896,False,False,False,False
2024-03-29 00:00:00+00:00,1.65,1.7,1.52,1.6,9827388,,1.6790990799473213,1.7260819809883912,1.4971339722118406,1.460418215749907,,1.5906833122243649,,#000000,0.0,1.0091400083090984,0.9983381803074365,False,False,False,False,-0.2937437847950323,-0.21004760575295045,False,False,False,False,-123689497,-147649044.96071887,False,False,False,False,13368371.124604532,False,False,False,False
2024-04-05 00:00:00+00:00,1.61,1.71,1.54,1.64,12084183,,1.6690373621502717,1.7188996381227368,1.4997834279873214,1.4626755516558827,,1.5875989949790532,,#000000,0.0,1.0680925360104758,0.9755565255347011,False,False,False,False,-0.2527479493026196,-0.23139777752778504,False,False,False,False,-135773680,-146769388.29696193,False,False,False,False,13273246.07833753,False,False,False,False
2024-04-12 00:00:00+00:00,1.52,1.715,1.5,1.6,15451495,,1.652821749402249,1.7077000920344474,1.5018911397065102,1.4647302877961388,,1.5817858172348362,,#000000,0.0,1.0739784946236561,0.9045161290322581,False,False,False,False,-0.30066722019886694,-0.266032498863326,False,False,False,False,-151225175,-147099446.57126105,False,False,False,False,13434597.850312527,False,False,False,False
2024-04-19 00:00:00+00:00,1.49,1.57,1.4,1.54,7869856,,1.638955145345923,1.69908027953587,1.501685877525627,1.4649269995773153,,1.5761620754961838,,#000000,0.0,1.0500647388864912,0.9464825205006473,False,False,False,False,-0.34282825441539394,-0.30443037663935996,False,False,False,False,-159095031,-147988008.38079727,False,False,False,False,13022394.750289377,False,False,False,False
2024-04-26 00:00:00+00:00,1.44,1.53,1.33,1.5,5954753,,1.626741950921793,1.6914634283226198,1.5009956213278828,1.4647140750932992,,1.5709787689163988,,#000000,0.0,1.0394680394680396,0.9476619476619477,False,False,False,False,-0.34282825441539394,-0.32362931552737695,False,False,False,False,-165049784,-149251843.6118493,False,False,False,False,12498865.731749423,False,False,False,False
2024-05-03 00:00:00+00:00,1.5,1.6,1.38,1.45,9712635,,1.6149588869558051,1.6826145538626103,1.5008714583042582,1.4650252533957278,,1.5658675381296003,,#000000,0.0,1.0549120549120548,0.938223938223938,False,False,False,False,-0.24082221088926248,-0.2822257632083197,False,False,False,False,-155337149,-149702606.97393456,False,False,False,False,12292478.270138355,False,False,False,False
2024-05-10 00:00:00+00:00,1.57,1.63,1.46,1.52,6942697,,1.6112992484270257,1.6786149580378213,1.5014721715300445,1.46570630521921,,1.5642731708035253,,#000000,0.0,1.0608960417572855,0.9460635058721182,False,False,False,False,-0.09676247852254843,-0.18949412086543407,False,False,False,True,-148394452,-149605706.60549498,False,False,False,False,11896198.176054033,False,False,False,False
2024-05-17 00:00:00+00:00,1.55,1.62,1.48,1.6,5387070,,1.608599069852326,1.6755999089014415,1.5018995346783743,1.4662077326256089,,1.5630765615144377,,#000000,0.0,1.026281208935611,0.9737187910643891,False,False,False,False,-0.006734927651096061,-0.09811452425826507,False,False,False,False,-153781522,-149915026.2643472,False,False,False,False,11414040.533383364,False,False,False,False
2024-05-24 00:00:00+00:00,1.43,1.5775,1.43,1.55,8720338,,1.5999842133184896,1.6684182761116244,1.5015800178709067,1.4663313276593657,,1.5590784587400968,,#000000,0.0,1.01743679163034,0.9707933740191804,False,False,False,False,-0.08055855866331119,-0.08933654146078812,False,False,False,False,-162501860,-150847384.31884,False,False,False,False,11214507.012392003,False,False,False,False
2024-05-31 00:00:00+00:00,1.44,1.48,1.34,1.45,6061437,,1.592025547653813,1.662261755370244,1.5007907158564693,1.4660262017023347,,1.5552760551457152,,#000000,0.0,1.0108401084010838,1.01806684733514,False,False,False,False,-0.34282825441539394,-0.21608239793809103,False,False,False,False,-156440423,-151261683.48040742,False,False,False,False,10832798.122585189,False,False,False,False
2024-06-07 00:00:00+00:00,1.38,1.49,1.33,1.47,12376116,,1.5761242093013341,1.6496301758187026,1.498838206838541,1.4651501522553099,,1.547435686053472,,"rgba(239, 83, 80, 0.5)",0.0,0.9725022914757104,1.0348304307974336,False,False,False,False,-0.34282825441539394,-0.2794553261767425,False,False,False,False,-168816539,-152562043.1485254,False,False,False,False,10947117.965356657,False,False,False,False
2024-06-14 00:00:00+00:00,1.37,1.47,1.345,1.35,5161301,,1.5700780285017206,1.6446163352891534,1.498006040721213,1.464764123847195,,1.5443661320898205,,"rgba(239, 83, 80, 0.5)",0.0,0.9541198501872659,1.059925093632959,False,False,False,False,-0.34282825441539394,-0.31114179029606825,False,False,False,False,-173977840,-154148398.47085685,False,False,False,False,10518538.930885794,False,False,False,False
2024-06-21 00:00:00+00:00,1.33,1.39,1.33,1.36,8491703,,1.5586203431509171,1.6353713417325273,1.4960799397983775,1.463734406280665,,1.5384515077406218,,"rgba(239, 83, 80, 0.5)",0.0,0.9407114624505928,1.1067193675889326,False,False,False,False,-0.34282825441539394,-0.3269850223557311,False,False,False,False,-182469543,-156246261.02857116,True,False,False,False,10368402.936005365,False,False,False,False
