date,Close,High,Low,Open,Volume,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,Peaks_Valleys_avg
2024-07-26 00:00:00+00:00,3.11,3.14,2.96,3.06,1159459,4,0.3228145962899162,1.2912583851596648,4.271233476097436
2024-07-29 00:00:00+00:00,3.04,3.13,2.88,3.11,1562147,4,0.31868142562811436,1.2747257025124574,4.256272515798353
2024-07-30 00:00:00+00:00,2.96,3.04,2.935,3.01,1123222,3,0.24621963671050415,0.7386589101315124,4.245304613131127
2024-07-31 00:00:00+00:00,3.03,3.115,2.97,2.97,1684395,3,0.24394348106609506,0.7318304431982852,4.230949553672833
2024-08-01 00:00:00+00:00,2.72,3.02,2.71,3.0,1662404,3,0.24023807723170518,0.7207142316951155,4.212412460545012
2024-08-02 00:00:00+00:00,2.6,2.705,2.59,2.7,1226239,2,0.2561510520556296,0.5123021041112592,4.196446103280567
2024-08-05 00:00:00+00:00,2.46,2.49,2.2678,2.33,1628636,2,0.2514852439019457,0.5029704878038914,4.1717374550759585
2024-08-06 00:00:00+00:00,2.39,2.54,2.38,2.47,1246984,1,0.2951044513444023,0.2951044513444023,4.154195149577396
2024-08-07 00:00:00+00:00,2.28,2.45,2.28,2.45,1320333,1,0.2896032160231186,0.2896032160231186,4.134840175182684
2024-08-08 00:00:00+00:00,2.5,2.5,2.26,2.31,1797081,1,0.28572342952086943,0.28572342952086943,3.998599795599093
2024-08-09 00:00:00+00:00,2.39,2.55,2.39,2.55,1025238,1,0.28108409255850214,0.28108409255850214,3.9873711320574303
2024-08-12 00:00:00+00:00,2.36,2.44,2.32,2.42,1539040,1,0.27718940220717747,0.27718940220717747,3.9678785279547797
2024-08-13 00:00:00+00:00,2.49,2.57,2.35,2.38,1090182,1,0.27442106768192304,0.27442106768192304,3.957219270882738
2024-08-14 00:00:00+00:00,2.54,2.62,2.38,2.42,1752558,1,0.27221865554489844,0.27221865554489844,3.941540772292971
2024-08-15 00:00:00+00:00,2.48,2.59,2.48,2.54,1625555,1,0.2696632742554393,0.2696632742554393,3.927097020799422
2024-08-16 00:00:00+00:00,2.63,2.675,2.42,2.46,1781344,1,0.2678792808352674,0.2678792808352674,3.913056110792456
2024-08-19 00:00:00+00:00,2.64,2.715,2.6,2.65,972885,1,0.26611172095881824,0.26611172095881824,3.906488841167868
2024-08-20 00:00:00+00:00,2.56,2.66,2.52,2.64,869046,1,0.26471981377457315,0.26471981377457315,3.899731018218081
2024-08-21 00:00:00+00:00,2.78,2.86,2.605,2.61,2038760,1,0.26498629757474024,0.26498629757474024,3.8172278730518774
2024-08-22 00:00:00+00:00,2.71,2.8,2.7,2.76,746359,1,0.2660728455786316,0.2660728455786316,3.813012363682903
2024-08-23 00:00:00+00:00,2.76,2.84,2.69,2.72,1009749,1,0.2674111319034141,0.2674111319034141,3.8081650047427336
2024-08-26 00:00:00+00:00,2.79,2.82,2.705,2.81,884876,1,0.26930907463492587,0.26930907463492587,3.803972171789514
2024-08-27 00:00:00+00:00,2.62,2.8,2.6,2.76,1167725,1,0.26937887761828083,0.26937887761828083,3.7958465085246367
