date,Open,High,Low,Close,Volume,aVWAP_OB_bull_798,aVWAP_OB_bull_406,aVWAP_OB_bull_366,aVWAP_OB_bull_164,aVWAP_OB_bull_143,aVWAP_OB_bear_624,OB,OB_High,OB_Low,OB_Mitigated_Index,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,SMA_50,SMA_200,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-13 17:00:00+00:00,19.045,19.07,19.005,19.015,3138.0,,,,,,,0.0,0.0,0.0,0.0,19.797879708336783,#000000,,19.797879708336783,,36.13432637247699,-4.551172386852073,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-6546.0,4384.019359174787,False,False,False,False,10741.583251161306,False,False,False,False
2024-12-13 18:00:00+00:00,19.02,19.075,19.01,19.045,2473.0,,,,,,,0.0,0.0,0.0,0.0,19.788052198510236,#000000,,19.788052198510236,,34.371409886763786,-6.3339490011777855,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-4073.0,4252.902779962775,False,False,False,False,10613.388161996016,False,False,False,False
2024-12-13 19:00:00+00:00,19.045,19.095,19.04,19.04,9255.0,,,,,,,0.0,0.0,0.0,0.0,19.755008791387866,#000000,,19.755008791387866,,33.079405106812374,-7.790262947449108,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-13328.0,3980.3306438393206,False,False,False,False,10592.327880414681,False,False,False,False
2024-12-13 20:00:00+00:00,19.045,19.12,19.035,19.11,19599.0,,,,,,,0.0,0.0,0.0,0.0,19.699524177294897,#000000,,19.699524177294897,,33.27253852779645,-7.948758994264594,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,6271.0,4015.8448974232074,False,False,False,False,10731.966207850111,False,False,False,False
2024-12-16 15:00:00+00:00,19.025,19.095,18.835,18.965,12888.0,,,,,,,0.0,0.0,0.0,0.0,19.523245164556982,#000000,,19.523245164556982,,32.32466080172631,-9.305686886854666,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,-6617.0,3850.994588936026,False,False,False,False,10765.39308834856,False,False,False,False
2024-12-16 16:00:00+00:00,18.965,18.99,18.865,18.98,6945.0,,,,,,,0.0,0.0,0.0,0.0,19.507083633441024,#000000,,19.507083633441024,,31.90075860592357,-10.210816857296543,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,328.0,3796.3745177897313,False,False,False,False,10706.162187754007,False,False,False,False
2024-12-16 17:00:00+00:00,18.985,19.045,18.98,19.025,3689.0,,,,,,,0.0,0.0,0.0,0.0,19.502267779615874,#000000,,19.502267779615874,,32.38975789918672,-10.234376481338089,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,4017.0,3799.795067901518,False,False,False,False,10597.368975540767,False,False,False,False
2024-12-16 18:00:00+00:00,19.025,19.1,19.015,19.075,3061.0,,,,,,,0.0,0.0,0.0,0.0,19.499551029364152,#000000,,19.499551029364152,,33.62463217507812,-10.234376481338089,False,True,False,True,False,,,,0,,,False,False,False,False,,,False,False,False,False,7078.0,3850.6199505697114,False,False,False,False,10480.526045687422,False,False,False,False
2024-12-16 19:00:00+00:00,19.075,19.095,19.025,19.065,4775.0,,,,,,,0.0,0.0,0.0,0.0,19.494631580947562,#000000,,19.494631580947562,,34.40004163021971,-10.234376481338089,False,True,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,2303.0,3826.6258428089404,False,False,False,False,10392.06827753723,False,False,False,False
2024-12-16 20:00:00+00:00,19.065,19.125,19.05,19.12,34393.0,,,,,,,0.0,0.0,0.0,0.0,19.46289681982959,#000000,,19.46289681982959,,36.00789489016407,-10.234376481338089,False,True,False,True,True,,,,0,,,False,False,False,False,,,False,False,False,False,36696.0,4336.228542920429,False,False,False,False,10764.175746102543,False,False,False,False
