date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_882,Gap_Up_aVWAP_870,Gap_Up_aVWAP_858,Gap_Up_aVWAP_846,Gap_Up_aVWAP_840,Gap_Up_aVWAP_834,Gap_Up_aVWAP_804,Gap_Up_aVWAP_798,Gap_Up_aVWAP_768,Gap_Up_aVWAP_737,Gap_Down_aVWAP_780,Gap_Down_aVWAP_744,Gap_Down_aVWAP_714,Gap_Down_aVWAP_708,Gap_Down_aVWAP_690,Gap_Down_aVWAP_612,Gap_Down_aVWAP_600,Gap_Down_aVWAP_564,Gap_Down_aVWAP_558,Gap_Down_aVWAP_552,aVWAP_OB_bull_831,aVWAP_OB_bull_723,aVWAP_OB_bull_682,aVWAP_OB_bull_612,aVWAP_OB_bull_567,aVWAP_OB_bull_251,aVWAP_OB_bull_125,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-26 17:00:00+00:00,230.395,230.395,230.395,230.395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,8.813826664308616,221.23827279019574,1.038904843328066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.88223320917642,3.6686070080055444,False,False,True,False,True,11.30887648795646,0,1.0460781812512403,0.8953850951044586,False,False,False,False,0.2882142936301254,0.28708333456796514,False,False,False,False,81792.0,18583.55295127203,False,False,False,False,6124.282607219374,False,False,False,False
2025-05-26 18:00:00+00:00,230.395,230.395,230.395,230.395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,8.628319873930035,221.23827279019574,1.061241046182211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.27728149550849,4.418926807061247,False,False,True,False,True,11.30887648795645,0,1.0444815957933244,0.9004200960219477,False,False,False,False,0.2882142936301254,0.2876488140990453,False,False,False,False,81792.0,19563.528874508123,False,False,False,False,6029.332489277988,False,False,False,False
2025-05-26 19:00:00+00:00,230.395,230.395,230.395,230.395,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.11975886551878,"rgba(239, 83, 80, 1.0)",0.0,0.0,8.476070463104042,221.23827279019574,1.0803033374560889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.540647019729875,5.0776637345415025,False,False,True,False,True,11.30887648795645,0,1.0422975073398195,0.9012002763226065,False,False,False,False,0.2882142936301254,0.28793155386458535,False,False,False,False,81792.0,20528.311372577762,False,False,False,False,5935.854466188407,False,False,False,False
2025-05-27 14:00:00+00:00,236.69,239.22,235.73,236.95,8266.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.37055066640758,"rgba(38, 166, 154, 1.0)",0.0,0.0,8.359075823416786,222.90437348343292,1.6802846167778742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.86795406921084,13.003797108567582,True,False,True,False,True,17.28386271892743,0,1.0413195082964368,0.8943035378326,False,False,False,False,0.3428282525140779,0.3153799031893316,False,False,False,False,90058.0,21606.291041219967,False,False,False,False,5971.980753534323,False,False,False,False
2025-05-27 15:00:00+00:00,237.2,238.21,237.2,237.74,3419.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.47480845116803,"rgba(38, 166, 154, 1.0)",0.0,0.0,8.214543800288387,223.0685969475003,1.7860277343684783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.81502820981054,18.29397896124192,True,False,True,False,True,17.942129407330796,0,1.0421721794162306,0.8979183517091649,False,False,False,False,0.34282825252523796,0.3291040778572848,False,False,False,False,93477.0,22720.565598720434,False,False,False,False,5932.399656580303,False,False,False,False
2025-05-27 16:00:00+00:00,237.87,238.4,237.06,237.06,2941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.56157722682124,"rgba(38, 166, 154, 1.0)",0.0,0.0,8.102707974098731,223.19040134301528,1.711723870750438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.8052892790021,19.885644829184827,True,False,True,False,True,17.02031375973873,0,1.0406194791132386,0.8994414999715045,False,False,False,False,0.34282825252644306,0.33596616519186395,False,False,False,False,90536.0,23771.967682461203,False,False,False,False,5886.021367330995,False,False,False,False
2025-05-27 17:00:00+00:00,237.175,237.95,237.1,237.75,2320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.62967449415152,"rgba(38, 166, 154, 1.0)",0.0,0.0,7.887171027677136,223.28300438424804,1.8342439342300727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.6248394476772,21.504924830185985,True,False,True,False,True,17.60967859077876,0,1.0497882881585394,0.8962611976841317,False,False,False,False,0.3389608261544641,0.337463495673164,False,False,False,False,92856.0,24843.037950950176,False,False,False,False,5830.73421434912,False,False,False,False
2025-05-27 18:00:00+00:00,237.555,237.73,235.605,236.34,4916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.75911679741333,"rgba(38, 166, 154, 1.0)",0.0,0.0,7.567103784453772,223.42639275428334,1.7065455441812505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.93958918639794,21.504924830185985,True,False,True,False,False,15.687474011599441,0,1.0447452068980396,0.8890215312037049,False,False,False,False,0.3226807708060196,0.33007213323959184,False,False,False,False,87940.0,25821.285424578855,False,False,False,False,5816.552288545257,False,False,False,False
2025-05-27 19:00:00+00:00,236.23,236.39,233.245,234.26,13889.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226.04640769554163,"rgba(38, 166, 154, 1.0)",0.0,0.0,7.10302537814223,223.64754348791752,1.494075544871293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6787173842823,25.422964755268794,True,False,True,False,False,12.939912608707651,0,1.0364373049279845,0.894338974314921,False,False,False,False,0.2871585271506592,0.30861533019512555,False,False,False,False,74051.0,26569.03293737608,False,False,False,False,5941.706516629826,False,False,False,False
2025-05-28 14:00:00+00:00,233.56,234.0,231.22,231.915,1734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226.07190153441303,"rgba(239, 83, 80, 1.0)",0.0,0.0,6.527986470602596,223.65489915839805,1.265336697433359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.826954466530175,18.388964333496062,True,False,True,False,False,9.978080381585261,0,1.0270053552507232,0.9077006787135942,False,False,False,False,0.24610590195529555,0.27736061607521056,False,False,False,False,72317.0,27278.303744548542,False,False,False,False,5876.470756682077,False,False,False,False
2025-05-28 15:00:00+00:00,231.915,233.35,231.91,232.59,7363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226.18191277925658,"rgba(239, 83, 80, 1.0)",0.0,0.0,5.887812999656937,223.70614947220204,1.508854056389969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.68665964493325,14.883586596807007,False,True,True,False,False,10.615013575945511,0,1.0217459998276408,0.914998132774123,False,False,False,False,0.24647402005027733,0.26191731806274393,False,False,False,False,79680.0,28090.733143857866,False,False,False,False,5899.517721694758,False,False,False,False
2025-05-28 16:00:00+00:00,232.53,233.92,232.53,233.45,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,226.22551881162957,"rgba(239, 83, 80, 1.0)",0.0,0.0,5.1728736964369935,223.73682563956794,1.877713420129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.28457380189481,13.700179194338496,False,True,True,False,False,11.424652615259987,0,1.02278802942069,0.9165065098333883,False,False,False,False,0.25745600709851924,0.25968666258063156,False,False,False,False,82380.0,28932.427203643012,False,False,False,False,5849.912795777009,False,False,False,False
