date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_437,Gap_Up_aVWAP_436,Gap_Up_aVWAP_433,Gap_Up_aVWAP_432,Gap_Up_aVWAP_427,Gap_Up_aVWAP_426,Gap_Up_aVWAP_425,Gap_Up_aVWAP_421,Gap_Up_aVWAP_412,Gap_Up_aVWAP_405,Gap_Down_aVWAP_444,Gap_Down_aVWAP_440,Gap_Down_aVWAP_435,Gap_Down_aVWAP_434,Gap_Down_aVWAP_430,Gap_Down_aVWAP_424,Gap_Down_aVWAP_422,Gap_Down_aVWAP_419,Gap_Down_aVWAP_416,Gap_Down_aVWAP_414,aVWAP_OB_bear_358,aVWAP_OB_bear_189,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-20 17:00:00+00:00,6.42,6.455,6.295,6.305,18952.0,,,,,,,,,,,,,,,,,,,,,,8.212813280293936,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2300995455213677,8.028808253714116,-1.4013567113249312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.635716915553914,-12.859959793065748,True,False,False,True,True,0.0,0,0.7682473613795154,0.9790396907982757,False,False,False,False,-0.25720264516789637,-0.25471768043970866,False,False,False,False,-323719.0,-200937.73020696154,False,False,False,False,30436.856236735974,False,False,False,False
2025-03-21 17:00:00+00:00,6.125,6.19,6.095,6.155,15138.0,,,,,,,,,,,,,,,,,,,,,,8.201982130654397,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.233646564801617,8.020246811072782,-1.5119782799157981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.672212439807744,-12.859959793065748,True,False,False,True,True,0.0,0,0.7620689655172416,0.9896551724137933,False,False,False,False,-0.283300793056713,-0.26900923674821087,False,False,False,False,-338857.0,-203076.01345956678,False,False,False,False,30199.664667174173,False,False,False,False
2025-03-24 17:00:00+00:00,6.285,6.355,6.21,6.22,25414.0,,,,,,,,,,,,,,,,,,,,,,8.185054939113675,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2295237303946545,8.007309642733698,-1.45366014380219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.716982534529144,-12.859959793065748,True,False,False,True,True,0.0,0,0.7674453429170413,0.9817310572027553,False,False,False,False,-0.26754290493249355,-0.2682760708403522,False,False,False,False,-313443.0,-204787.12952996106,False,False,False,False,30125.468315745115,False,False,False,False
2025-03-25 17:00:00+00:00,6.165,6.22,6.135,6.135,7838.0,,,,,,,,,,,,,,,,,,,,,,8.179629945671046,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2284948382339873,8.003021839157608,-1.5205776866290845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.07908606505042,-12.859959793065748,True,False,False,True,True,0.0,0,0.7632291040288636,0.9915814792543596,False,False,False,False,-0.2793487384796732,-0.27381240466001266,False,False,False,False,-321281.0,-206593.2360488764,False,False,False,False,29779.926171314957,False,False,False,False
2025-03-26 17:00:00+00:00,5.99,6.0,5.91,5.93,22388.0,,,,,,,,,,,,,,,,,,,,,,8.162645417142306,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2311160504719745,7.988828314080656,-1.6723267585467358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.12734601960367,-12.859959793065748,True,False,False,True,False,0.0,0,0.7620120120120122,0.9951951951951951,False,False,False,False,-0.3046234433361597,-0.2892179239980862,False,False,False,False,-343669.0,-208718.44169152947,False,False,False,False,29665.32266478294,False,False,False,False
2025-03-27 17:00:00+00:00,5.755,5.835,5.75,5.78,20214.0,,,,,,,,,,,,,,,,,,,,,,8.14645066564897,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2378267609363087,7.974865747021871,-1.7731606847485226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.81040531802343,-8.908366710596034,False,False,False,True,False,0.0,0,0.7640331075996991,0.9950338600451467,False,False,False,False,-0.323322350396982,-0.3062701371975341,False,False,False,False,-363883.0,-211124.09375832745,False,False,False,False,29518.790530445218,False,False,False,False
2025-03-28 17:00:00+00:00,5.845,5.85,5.67,5.695,27785.0,,,,,,,,,,,,,,,,,,,,,,8.12408305946115,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2413658817013766,7.95544550159786,-1.8209341298310577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.705160167300775,-11.025806301165346,False,False,False,True,False,0.0,0,0.7681728880157171,0.9941060903732809,False,False,False,False,-0.3270881171628525,-0.3166791271801933,False,False,False,False,-391668.0,-213923.22408765572,False,False,False,False,29491.910057104982,False,False,False,False
2025-03-31 17:00:00+00:00,5.43,5.46,5.38,5.415,20670.0,,,,,,,,,,,,,,,,,,,,,,8.105514895994244,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2591610248441103,7.938581033160118,-2.0041765773941016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.652185578652446,-13.952049213712058,False,True,False,True,False,0.0,0,0.7628416942024633,0.9998498047461699,False,False,False,False,-0.34282825441539394,-0.3297536907977936,False,False,False,False,-412338.0,-216999.42216381608,False,False,False,False,29355.13625777002,False,False,False,False
2025-04-01 17:00:00+00:00,5.45,5.47,5.36,5.43,16581.0,,,,,,,,,,,,,,,,,,,,,,8.090812269214803,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2751338809765813,7.925267956716036,-1.9568674269755864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.857232551602582,-15.662229273657324,False,True,False,True,False,0.0,0,0.7649624060150376,0.9966917293233083,False,False,False,False,-0.34282825441539394,-0.3362909726065938,False,False,False,False,-395757.0,-219770.85747910573,False,False,False,False,29157.087633618543,False,False,False,False
2025-04-02 17:00:00+00:00,5.415,5.66,5.405,5.625,33286.0,,,,,,,,,,,,,,,,,,,,,,8.063335939561624,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2845861253779358,7.900940704501528,-1.7717307228675907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.709943215272638,-15.662229273657324,False,True,False,True,False,0.0,0,0.7667215322459975,0.9919197964985784,False,False,False,False,-0.3295585326337872,-0.3329247526201905,False,False,False,False,-362471.0,-221983.2627895072,False,False,False,False,29221.101778833756,False,False,False,False
