date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_444,Gap_Up_aVWAP_443,Gap_Up_aVWAP_437,Gap_Up_aVWAP_436,Gap_Up_aVWAP_431,Gap_Up_aVWAP_429,Gap_Up_aVWAP_428,Gap_Up_aVWAP_427,Gap_Up_aVWAP_425,Gap_Up_aVWAP_420,Gap_Down_aVWAP_445,Gap_Down_aVWAP_442,Gap_Down_aVWAP_435,Gap_Down_aVWAP_432,Gap_Down_aVWAP_430,Gap_Down_aVWAP_422,Gap_Down_aVWAP_419,Gap_Down_aVWAP_417,Gap_Down_aVWAP_415,Gap_Down_aVWAP_409,aVWAP_OB_bear_366,aVWAP_OB_bear_250,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-20 17:00:00+00:00,295.63,296.74,294.325,294.805,2086.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.883848247229324,293.34754581516233,0.11312258238924063,0.0,0.0,0.0,0.0,57.22273584189412,1.9129185785270195,True,False,True,False,True,0.0,0,0.8724636076144068,0.8664771678541107,False,False,False,False,-0.1020870135027355,-0.10747833034810901,False,False,False,False,-116047.0,-79710.40206522669,False,False,False,False,5396.149754530426,False,False,False,False
2024-06-21 17:00:00+00:00,295.74,297.13,294.4,297.13,8826.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.86478737792645,293.47032869355644,0.2844719620258056,0.0,0.0,0.0,0.0,58.41245350078641,3.448571251552295,True,False,True,False,True,0.0,0,0.8731953104281915,0.8704878906177729,False,False,False,False,-0.10067486603850737,-0.1040765981933082,False,False,False,False,-107221.0,-80136.92296344023,False,False,False,False,5449.325727328404,False,False,False,False
2024-06-24 17:00:00+00:00,299.1,300.895,297.91,297.95,2602.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.821158031560437,293.52983433702263,0.3447555713841696,0.0,0.0,0.0,0.0,59.52165718503507,4.866808266390564,True,False,True,False,True,0.0,0,0.87844151047918,0.8636690979595607,False,False,False,False,-0.07863001854506511,-0.09135330836918665,False,False,False,False,-104619.0,-80516.49004927836,False,False,False,False,5405.181142408584,False,False,False,False
2024-06-25 17:00:00+00:00,298.74,303.53,298.74,301.07,4122.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.860100743933563,293.65281699606123,0.5767593234009177,0.0,0.0,0.0,0.0,61.457455350349534,6.993001903496712,True,False,True,False,True,0.5730465694090086,0,0.8817515467654629,0.8603456644486636,False,False,False,False,-0.06815836182607858,-0.07975583509763262,False,False,False,False,-100497.0,-80826.26539735157,False,False,False,False,5385.286861130931,False,False,False,False
2024-06-26 17:00:00+00:00,300.85,303.47,299.75,303.47,1022.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,12.930735754168074,293.68654704265276,0.7566045075349778,0.0,0.0,0.0,0.0,63.615716670412226,9.23586833137393,True,False,True,False,True,1.4199791055179602,0,0.88567634528252,0.8593147712112924,False,False,False,False,-0.0652900462572006,-0.0725229406774166,False,False,False,False,-99475.0,-81115.39306560968,False,False,False,False,5317.639002818823,False,False,False,False
2024-06-27 17:00:00+00:00,304.1,304.15,299.68,302.42,3802.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.019047202581284,293.8073648350727,0.6615411274658948,0.0,0.0,0.0,0.0,64.24757303854838,10.033880265259292,True,False,True,False,True,1.0337217118169058,0,0.8856286875974442,0.856292990125646,False,False,False,False,-0.06344885410438976,-0.06798589739090319,False,False,False,False,-103277.0,-81458.98387079402,False,False,False,False,5294.140723705354,False,False,False,False
2024-06-28 17:00:00+00:00,303.48,304.94,301.84,304.94,2796.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.143780985834333,294.57713934349493,0.7884231080595152,0.0,0.0,0.0,0.0,65.67790440152436,11.596065764948733,True,False,True,False,True,1.9380915493836817,0,0.8964885195687072,0.8544602382812263,False,False,False,False,-0.05455056170056915,-0.06126822954573617,False,False,False,False,-100481.0,-81753.8988495414,False,False,False,False,5255.409859771938,False,False,False,False
2024-07-01 17:00:00+00:00,300.1,302.855,299.82,302.42,2547.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.24499102771689,294.57532152818146,0.5922751065215922,0.0,0.0,0.0,0.0,64.57819851731254,11.596065764948733,True,False,True,False,True,0.9900163964888229,0,0.8971880546433891,0.8472817449274288,False,False,False,False,-0.06693541940686476,-0.06410182447630047,False,False,False,False,-103028.0,-82083.7298751299,False,False,False,False,5213.419009232837,False,False,False,False
2024-07-02 17:00:00+00:00,300.035,301.78,299.0,301.17,2239.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.326939450154518,294.5835853619505,0.4942180958114245,0.0,0.0,0.0,0.0,62.852046924709555,11.596065764948733,True,False,True,False,False,0.5189946573245514,0,0.8998477477812024,0.8452721353683145,False,False,False,False,-0.07265936296045065,-0.06838059371837557,False,False,False,False,-105267.0,-82443.16041970153,False,False,False,False,5167.303985833878,False,False,False,False
2024-07-03 17:00:00+00:00,296.37,296.37,296.37,296.37,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,13.3360213534816,294.5835853619505,0.13395409250624307,0.0,0.0,0.0,0.0,58.314963701851546,12.437819656611751,True,False,True,False,False,0.0,0,0.9012709294986819,0.8453846820201221,False,False,False,False,-0.09700210620112604,-0.0826913499597508,False,False,False,False,-105267.0,-82797.01839769066,False,False,False,False,5087.19074574343,False,False,False,False
