date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_199,Gap_Up_aVWAP_182,Gap_Up_aVWAP_173,Gap_Up_aVWAP_158,Gap_Up_aVWAP_152,Gap_Up_aVWAP_138,Gap_Up_aVWAP_134,Gap_Up_aVWAP_112,Gap_Down_aVWAP_24,aVWAP_OB_bull_42,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-05-26 00:00:00+00:00,43.7695041181,43.8049046247,43.7606760616,43.7783321746,1384321,,,,,,,,,42.89284723648816,43.101374901935216,"rgba(38, 166, 154, 1.0)",0.0,0.0,,42.96295381695359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.54969779022494,34.9889958803184,True,False,True,False,True,20.0,0,1.5504719378249936,0.41921043267257607,False,False,False,False,0.3397703511449198,0.3412924708541848,False,False,False,False,10818969,-2668871.23453248,False,False,False,False,1938989.0284018284,False,False,False,False
2023-06-02 00:00:00+00:00,43.8489566266,43.8754407961,43.7783321746,43.7783321746,1431185,,,,,,,,,42.90520691430373,43.11617761901018,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.42563651868370506,42.97611935376499,2.050663499302843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.78886439752931,35.5089519535525,True,False,True,False,True,20.0,0,1.5190561044153867,0.42847234779294485,False,False,False,False,0.3428281847885434,0.3420603278213641,False,False,False,False,12250154,-1563758.2541967407,False,False,False,False,1901373.915186878,False,False,False,False
2023-06-09 00:00:00+00:00,43.8666127396,43.8842688526,43.8401285701,43.8489566266,1638447,,,,,,,,,42.919399704831285,43.13307155714583,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.44113929601432167,42.99120306207465,1.984429148422377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.03706613941347,36.02543322946694,True,False,True,False,True,20.0,0,1.5173643834601394,0.43925275883730697,False,False,False,False,0.34282818339481197,0.342444255608088,False,False,False,False,13888601,-419139.0501821673,False,False,False,False,1881897.8473952576,False,False,False,False
2023-06-16 00:00:00+00:00,43.9107530221,43.9107530221,43.8666127396,43.8754407961,2021246,,,,,,,,,42.93692041593428,43.15376698033341,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.45711230198767167,43.00977072687223,1.9710305133115182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.40162274913419,36.638136432053415,True,False,True,False,True,20.0,0,1.5177120716446524,0.4514855625849837,False,False,False,False,0.34282818117502434,0.34263621839155617,False,False,False,False,15909847,790415.4720535488,False,False,False,False,1892219.9327733866,False,False,False,False
2023-06-23 00:00:00+00:00,43.9764174154,43.9852782692,43.905530585,43.9188218657,1969643,,,,,,,,,42.954425215746575,43.1744192056599,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.4740938463234838,43.02831325070933,1.9998238155653225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.91165150363341,37.369064697908186,True,False,True,False,True,20.0,0,1.4942199012632376,0.4443303935962156,False,False,False,False,0.3428281824317519,0.34273220041165403,False,False,False,False,17879490,2056272.8444940266,False,False,False,False,1897954.9747901727,False,False,False,False
2023-06-30 00:00:00+00:00,43.9852782692,43.994139123,43.9675565616,43.9675565616,1374512,,,,,,,,,42.96660373224653,43.1886815923267,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.49027598206847056,43.04117870058006,1.925649232574664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.30795422139215,37.96817371801055,True,False,True,False,True,20.0,0,1.5170162039020145,0.4523506698535073,False,False,False,False,0.3428281818702748,0.3427801911409644,False,False,False,False,19254002,3330178.7078648396,False,False,False,False,1859181.4211020116,False,False,False,False
2023-07-07 00:00:00+00:00,44.038443392,44.038443392,43.9852782692,43.9852782692,941061,,,,,,,,,42.97508564003228,43.198617957132925,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.5069077265099041,43.05014000496074,1.9496711834396347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.77666611762064,38.6187105780112,True,False,True,False,True,20.0,0,1.5148763060399422,0.4492733675142667,False,False,False,False,0.3428281763739169,0.34280418375744065,False,False,False,False,20195063,4579429.396171148,False,False,False,False,1791172.5010203812,False,False,False,False
2023-07-14 00:00:00+00:00,44.1181910763,44.1359127839,44.0295825382,44.0295825382,1303277,,,,,,,,,42.987423091521364,43.2131946582665,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.5247517313938747,43.0632155329961,2.0104279418032966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.35201982957348,39.3511524270361,True,False,True,False,True,20.0,0,1.5057557904501828,0.4497204383746191,False,False,False,False,0.3428281763884577,0.3428161800729492,False,False,False,False,21498340,5832682.033491803,False,False,False,False,1755032.09353739,False,False,False,False
2023-07-21 00:00:00+00:00,44.1536344915,44.1624953453,44.1181910763,44.1181910763,1709123,,,,,,,,,43.0039115560034,43.23265569119224,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.5422061352769444,43.08068372488377,1.9788613532899182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8584344407133,39.99703164723964,True,False,True,False,True,20.0,0,1.5191984816241275,0.45807126840928775,False,False,False,False,0.34282817664351484,0.34282217835823203,False,False,False,False,23207463,7119702.845825744,False,False,False,False,1751631.4199420277,False,False,False,False
2023-07-28 00:00:00+00:00,44.2117234483,44.2117234483,44.167235902,44.167235902,1154984,,,,,,,,,43.01528758990639,43.24607855567296,"rgba(38, 166, 154, 1.0)",0.0,0.0,0.5602014025985034,43.09273435146712,1.997476428374559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.36505856415283,40.62743677389102,True,False,True,False,True,20.0,0,1.4982758486331285,0.453597080338278,False,False,False,False,0.34282817621028566,0.3428251772842589,False,False,False,False,24362447,8396943.153542355,False,False,False,False,1707435.3147611367,False,False,False,False
