date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_894,Gap_Up_aVWAP_846,Gap_Up_aVWAP_822,Gap_Up_aVWAP_810,Gap_Up_aVWAP_768,Gap_Up_aVWAP_762,Gap_Up_aVWAP_738,Gap_Up_aVWAP_708,Gap_Up_aVWAP_702,Gap_Up_aVWAP_678,Gap_Down_aVWAP_882,Gap_Down_aVWAP_870,Gap_Down_aVWAP_864,Gap_Down_aVWAP_804,Gap_Down_aVWAP_780,Gap_Down_aVWAP_756,Gap_Down_aVWAP_714,Gap_Down_aVWAP_630,Gap_Down_aVWAP_606,Gap_Down_aVWAP_594,aVWAP_OB_bull_804,aVWAP_OB_bull_632,aVWAP_OB_bull_540,aVWAP_OB_bull_361,aVWAP_OB_bear_101,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-27 19:00:00+00:00,46.185,46.225,45.9,46.125,55856.0,,,,,,,,,,,,,,,,,,,,,,,,42.49502239291717,41.968336353476275,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.4553462112482611,42.52512166492902,2.473554613498695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.04088508564887,16.677955005836665,True,False,True,False,True,11.098537777470028,0,1.0224289315830648,0.8702947057289402,False,False,False,False,0.22216899501115434,0.22428421007511912,False,False,False,False,819751.0,782846.2281065988,False,False,False,False,14283.126636968245,False,False,False,False
2025-05-28 14:00:00+00:00,45.75,45.85,45.54,45.73,7651.0,,,,,,,,,,,,,,,,,,,,,,,,42.50595992408687,41.97238871965837,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.3999904053725536,42.530858069459235,2.2851170395624485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.17632810706473,16.677955005836665,True,False,True,False,False,8.49058498891096,0,1.0100190015546722,0.8757989290032819,False,False,False,False,0.1965972510002648,0.21044073053769197,False,False,False,False,812100.0,783299.7749576593,False,False,False,False,14180.302968178039,False,False,False,False
2025-05-28 15:00:00+00:00,45.765,45.86,45.625,45.64,4122.0,,,,,,,,,,,,,,,,,,,,,,,,42.51182478238494,41.97456927777494,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.3439129972376245,42.53407526949101,2.311105508238353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.95703194695776,16.677955005836665,True,False,True,False,False,7.906719215972117,0,1.0087362684888845,0.8802871723899315,False,False,False,False,0.19988751663822388,0.20516412358795794,False,False,False,False,807978.0,783682.3830978506,False,False,False,False,14024.36028650086,False,False,False,False
2025-05-28 16:00:00+00:00,45.64,45.795,45.64,45.755,4537.0,,,,,,,,,,,,,,,,,,,,,,,,42.51829891309008,41.976980342493206,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.2711206731722349,42.5378130765125,2.5309846589613127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.03080191852574,24.53374974768613,True,False,True,False,False,8.512955320642838,0,1.0186638758067326,0.8786848072562357,False,False,False,False,0.1981552698206629,0.20165969670431041,False,False,False,False,812515.0,784129.4004141629,False,False,False,False,13877.269429345808,False,False,False,False
2025-05-28 17:00:00+00:00,45.755,45.92,45.75,45.86,4514.0,,,,,,,,,,,,,,,,,,,,,,,,42.52494081271773,41.97944846132865,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.2686416158827596,42.54221459319386,2.61522668440726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.54630825492033,23.64562717175359,True,False,True,False,False,9.067995510518475,0,1.017470300489168,0.8780573025856043,False,False,False,False,0.20630722194042322,0.20398345932236683,False,False,False,False,817029.0,784639.4717255712,False,False,False,False,13732.102461448972,False,False,False,False
2025-05-28 18:00:00+00:00,45.87,46.06,45.725,45.89,5486.0,,,,,,,,,,,,,,,,,,,,,,,,42.53309433228181,41.98248127047229,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.2608119791812402,42.547894156335765,2.6507567336365003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45976601211592,22.945443892666916,True,False,True,False,False,9.22807431759949,0,1.0151104899991261,0.8787667045156781,False,False,False,False,0.2103062849760739,0.20714487214922037,False,False,False,False,822515.0,785226.689218198,False,False,False,False,13604.255911659066,False,False,False,False
2025-05-28 19:00:00+00:00,45.9,46.02,45.685,45.735,13052.0,,,,,,,,,,,,,,,,,,,,,,,,42.551886157922056,41.98953369424617,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.2582304820445318,42.560220760425146,2.523209606570706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.22293934894329,20.200142517368874,True,False,True,False,False,8.163551547710245,0,1.0134603618564806,0.8811292719167904,False,False,False,False,0.20752363379197583,0.2073342529705981,False,False,False,False,809463.0,785602.4459745049,False,False,False,False,13595.69380450156,False,False,False,False
2025-05-29 14:00:00+00:00,45.765,45.9,45.365,45.64,5076.0,,,,,,,,,,,,,,,,,,,,,,,,42.55873995243915,41.99214182782875,"rgba(38, 166, 154, 1.0)",0.0,0.0,1.2564382735077773,42.56404153537453,2.4481572469436816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.47041120881769,17.078355248758527,True,False,True,False,False,7.511356283394544,0,1.0045225256566355,0.8849365106975124,False,False,False,False,0.19227433624241932,0.19980429460650873,False,False,False,False,804387.0,785893.679370249,False,False,False,False,13463.605528462776,False,False,False,False
2025-05-29 15:00:00+00:00,45.64,45.745,45.29,45.315,4152.0,,,,,,,,,,,,,,,,,,,,,,,,42.56398773006136,41.994164220909674,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2556106981167747,42.566379849022624,2.189070350467614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.012660065929765,11.62573561633154,True,False,True,False,False,5.312674482329509,0,1.0032079070573952,0.8884168545170797,False,False,False,False,0.1843385609910618,0.19207142779878528,False,False,False,False,800235.0,786116.0254265242,False,False,False,False,13319.239551277307,False,False,False,False
2025-05-29 16:00:00+00:00,45.31,45.735,45.215,45.72,6560.0,,,,,,,,,,,,,,,,,,,,,,,,42.57254531548003,41.997453183449466,"rgba(239, 83, 80, 1.0)",0.0,0.0,1.2552994581890806,42.57090654901172,2.5086392178733394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.55032226537146,11.62573561633154,True,False,True,False,False,7.596570037925055,0,1.012444836716681,0.8836716681376874,False,False,False,False,0.17431969622510965,0.18319556201194748,False,False,False,False,806795.0,786436.6296834772,False,False,False,False,13214.445139629597,False,False,False,False
