date,Open,High,Low,Close,Volume,aVWAP_peak_399,aVWAP_peak_382,aVWAP_peak_274,aVWAP_peak_230,aVWAP_valley_322,aVWAP_OB_bull_322,aVWAP_OB_bear_230,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-03-14 17:00:00+00:00,47.995,48.035,47.885,47.975,19123.0,,,49.626639461728274,51.35189755068858,,,51.35189755068858,50.489268506208425,,"rgba(239, 83, 80, 0.75)",2.314825481328805,50.75544136750105,-1.201145135962889,26.64508707810992,-27.96673989659997,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.7962324223932072,0.9201379676306708,False,False,False,False,-0.2861445129876658,-0.311386785498067,False,False,False,False,321702.0,406438.0266213761,False,False,False,False,23375.719072306238,False,False,False,False
2025-03-17 17:00:00+00:00,48.49,48.81,48.475,48.76,15023.0,,,49.61137948449495,51.32900912173554,,,51.32900912173554,50.47019430311524,,"rgba(239, 83, 80, 0.75)",2.2676789896279668,50.74710207026304,-0.8762713238301175,34.39690497992946,-20.95148272452122,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.8007670435760096,0.9172121933478803,False,False,False,False,-0.23689349585695058,-0.2741401406775088,False,False,False,False,336725.0,405357.20450321527,False,False,False,False,23246.219551805367,False,False,False,False
2025-03-18 17:00:00+00:00,48.315,48.37,48.23,48.345,31987.0,,,49.56828695933812,51.27498673382591,,,51.27498673382591,50.42163684658202,,"rgba(239, 83, 80, 0.5)",2.2733848875293763,50.714549236742386,-1.0423000741055855,37.72748808136071,-18.21142129208917,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.7922663659879282,0.9267758837965111,False,False,False,False,-0.2614541806520176,-0.2677971606647632,False,False,False,False,304738.0,403797.21683649876,False,False,False,False,23381.73552774637,False,False,False,False
2025-03-19 17:00:00+00:00,48.07,48.335,47.965,48.215,38192.0,,,49.514972668037366,51.2099650035897,,,51.2099650035897,50.36246883581353,,"rgba(239, 83, 80, 0.5)",2.2674093881197175,50.669883623310284,-1.0826821288528001,39.39349524047917,-16.852392342104054,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.7848338692390137,0.9366291532690242,False,False,False,False,-0.27230691468697,-0.2700520376758666,False,False,False,False,266546.0,401669.29099407245,False,False,False,False,23611.35203119216,False,False,False,False
2025-03-20 17:00:00+00:00,48.015,48.11,47.885,48.11,61647.0,,,49.429073210849225,51.10610087560333,,,51.10610087560333,50.26758704322628,,"rgba(239, 83, 80, 0.5)",2.2478752089373297,50.593229298713126,-1.1047006919423519,40.0352637080458,-16.221431271836096,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.7795396761675362,0.936571657968687,False,False,False,False,-0.28340510012848913,-0.2767285689021779,False,False,False,False,204899.0,398618.58880811784,False,False,False,False,24201.05199970081,False,False,False,False
2025-03-21 17:00:00+00:00,47.795,48.035,47.77,47.975,60011.0,,,49.34872555292666,51.00797562035947,,,51.00797562035947,50.17835058664306,,"rgba(239, 83, 80, 0.5)",2.225586160263591,50.51834875095632,-1.142777033918603,39.83702113051706,-16.196147042193587,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.775792854275391,0.9408537401311385,False,False,False,False,-0.29035309684451066,-0.2835408328733443,False,False,False,False,144888.0,394684.7812296974,False,False,False,False,24756.24499195351,False,False,False,False
2025-03-24 17:00:00+00:00,48.215,48.4,48.2,48.34,28650.0,,,49.32294837726713,50.96884888894745,,,50.96884888894745,50.145898633107294,,"rgba(239, 83, 80, 0.5)",2.189788808772913,50.49195835322529,-0.9827241533996045,42.156953109507626,-13.723824377604046,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.7811998931052908,0.9367316942811327,False,False,False,False,-0.2614541806520176,-0.2724975067626809,False,False,False,False,173538.0,391256.1489625703,False,False,False,False,24816.613286651907,False,False,False,False
2025-03-25 17:00:00+00:00,48.705,48.79,48.62,48.78,27742.0,,,49.30899063689958,50.93780710189372,,,50.93780710189372,50.12339886939665,,"rgba(239, 83, 80, 0.5)",2.140536617068035,50.47463033146231,-0.7916848130276317,46.211862849171816,-9.741644473638466,True,False,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.7810056619034776,0.9399433809652196,False,False,False,False,-0.23244254666128905,-0.252470026711985,False,False,False,False,201280.0,388310.78231198783,False,False,False,False,24861.968119416993,False,False,False,False
2025-03-26 17:00:00+00:00,48.86,48.895,48.605,48.745,29835.0,,,49.29514775649462,50.905639258590625,,,50.905639258590625,50.10039350754262,,#000000,2.0875327218668724,50.31187989696613,-0.7505893826492361,48.68881826097754,-7.320791404948011,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0.7857963375903771,0.9358740455436174,False,False,False,False,-0.22924346582399796,-0.24085674626799147,False,False,False,False,171445.0,384948.5221211043,False,False,False,False,24939.0693888834,False,False,False,False
2025-03-27 17:00:00+00:00,48.28,48.42,48.175,48.355,17945.0,,,49.28082928391234,50.88296118734611,,,50.88296118734611,50.081895235629226,,#000000,2.051950844993688,50.28670955960605,-0.9414014786557898,47.9180232070042,-7.320791404948011,True,False,False,False,True,0.0,0.0,0.0,0.0,0.0,0,0.7850151873101582,0.9339858251771853,False,False,False,False,-0.2616345603401963,-0.2512456533040939,False,False,False,False,153500.0,381360.1729409321,False,False,False,False,24830.634204559625,False,False,False,False
2025-03-28 17:00:00+00:00,47.79,47.81,47.665,47.745,25371.0,,,49.249597305909894,50.84451383963506,,,50.84451383963506,50.04705557277248,,"rgba(239, 83, 80, 0.5)",2.0182598695165423,50.238666937891054,-1.2355529511114909,44.42871622991513,-7.320791404948011,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.7789523296525714,0.9374495017506058,False,False,False,False,-0.3024862357190399,-0.2768659445115669,False,False,False,False,128129.0,377434.10824417346,False,False,False,False,24839.01196883002,False,False,False,False
2025-03-31 17:00:00+00:00,47.265,47.56,47.25,47.44,38665.0,,,49.19467372112171,50.78177920267162,,,50.78177920267162,49.988226461896666,,"rgba(239, 83, 80, 0.5)",1.9983570684372185,50.168856600834275,-1.3655500530585023,40.88300172850296,-3.0641342571124284,True,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.778497851149464,0.9342383518657478,False,False,False,False,-0.32720561021240213,-0.3020357773619845,False,False,False,False,89464.0,372969.45540317846,False,False,False,False,25053.368372414046,False,False,False,False
2025-04-01 17:00:00+00:00,46.78,47.005,46.555,46.915,44577.0,,,49.11554317736894,50.70001703867596,,,50.70001703867596,49.90778010802245,,"rgba(239, 83, 80, 0.5)",1.992448699419845,50.07758089510432,-1.587283474864467,36.7273214819484,-6.957690928853708,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.7757612833061442,0.933931484502447,False,False,False,False,-0.34282825441539394,-0.3224320158886892,False,False,False,False,44887.0,367882.9057070051,False,False,False,False,25356.06033563243,False,False,False,False
