date,Open,High,Low,Close,Volume,aVWAP_peak_816,aVWAP_peak_775,aVWAP_peak_709,aVWAP_peak_684,aVWAP_peak_649,aVWAP_peak_608,aVWAP_peak_525,aVWAP_peak_456,aVWAP_peak_419,aVWAP_peak_380,aVWAP_peak_355,aVWAP_valley_860,aVWAP_valley_828,aVWAP_OB_bear_835,aVWAP_OB_bear_816,aVWAP_OB_bear_709,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-17 15:00:00+00:00,85.845,86.07,85.84,86.0,4237.0,,,,,,,87.6126073237651,87.04482081658783,87.32755285739373,88.4308152221092,89.38266944905702,,,,,,87.95969313378258,,"rgba(239, 83, 80, 1.0)",1.3937547705251834,88.83842719348775,-2.0365327197539873,30.526576246153546,-15.434799823750133,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8818119305483928,0.9978511260099713,False,False,False,False,-0.15764318307154768,-0.16378067728022927,False,False,False,False,-392242.0,-356876.85337376373,False,False,False,False,7695.128953409684,False,False,False,False
2025-06-17 16:00:00+00:00,85.975,86.16,85.73,85.75,1281.0,,,,,,,87.60020957386988,87.04257242931862,87.32561687671023,88.4285235533038,89.37986222762775,,,,,,87.95535693216605,,"rgba(239, 83, 80, 1.0)",1.3998673907599462,88.83554199398586,-2.204167347816287,30.201485805513904,-15.492808909061353,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8924721835883173,0.9953059805285124,False,False,False,False,-0.15898181851097398,-0.16138124789560163,False,False,False,False,-393523.0,-357445.01068579836,False,False,False,False,7595.685093666898,False,False,False,False
2025-06-17 17:00:00+00:00,85.75,85.8,85.265,85.345,1288.0,,,,,,,87.58499294733144,87.03952630708268,87.3231249341834,88.42585348427328,89.37671407429724,,,,,,87.9500423494336,,"rgba(239, 83, 80, 1.0)",1.408422755304318,88.83208704467732,-2.475880932443376,28.462380677244028,-17.514609712306054,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8814629085249871,1.0016427459795958,False,False,False,False,-0.21475504782285285,-0.18806814785922724,False,False,False,False,-394811.0,-358024.3283495844,False,False,False,False,7497.891526323225,False,False,False,False
2025-06-17 18:00:00+00:00,85.295,85.295,84.815,84.905,7036.0,,,,,,,87.48809826915617,87.01822341291516,87.30624300179784,88.4090710081891,89.35756930729939,,,,,,87.91584099987153,,"rgba(239, 83, 80, 1.0)",1.4219630606831166,88.81005364313924,-2.7462412710378263,25.979800106944683,-20.09077784197735,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.873946689595873,1.008770421324162,False,False,False,False,-0.2810294238229931,-0.23454878584111016,False,False,False,False,-401847.0,-358703.74961548235,False,False,False,False,7490.73041738798,False,False,False,False
2025-06-17 19:00:00+00:00,84.915,85.005,84.745,84.87,29049.0,,,,,,,87.13709059050964,86.92934305012699,87.23522782584227,88.33887727683917,89.27793317670523,,,,,,87.78369438400466,,"rgba(239, 83, 80, 1.0)",1.4291663449167813,88.72111094251625,-2.694655493542628,24.226546386808216,-21.885779110141335,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8694568580268136,1.0174458576830532,False,False,False,False,-0.3066199789480827,-0.2705843823945964,False,False,False,False,-430896.0,-359823.00931136636,False,False,False,False,7824.967155102895,False,False,False,False
2025-06-18 14:00:00+00:00,84.71,85.06,84.62,85.02,4717.0,,,,,,,87.08936655782288,86.91577934131273,87.22421153167241,88.32782703247435,89.26534464961308,,,,,,87.7645058225791,,"rgba(239, 83, 80, 1.0)",1.4346780346350936,88.44427940886841,-2.386792943226019,24.730818630074687,-21.885779110141335,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8694461090660051,1.0145535484975605,False,False,False,False,-0.3116404987683096,-0.291112440581453,False,False,False,False,-426179.0,-360851.7843608025,False,False,False,False,7776.781617814478,False,False,False,False
2025-06-18 15:00:00+00:00,85.02,85.155,84.75,84.755,6948.0,,,,,,,87.02225983659271,86.89599742522996,87.20808084580199,88.31161627441301,89.24687718894629,,,,,,87.73696631419679,,"rgba(239, 83, 80, 1.0)",1.4490994780547852,88.42478315814517,-2.532457718549008,24.10805855142017,-22.30837501623872,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0,0.8691524843923718,1.0177884204224754,False,False,False,False,-0.2955558452954013,-0.2933341429384272,False,False,False,False,-433127.0,-361972.33033970476,False,False,False,False,7763.932290406501,False,False,False,False
2025-06-18 16:00:00+00:00,84.8,85.01,84.725,84.96,8055.0,,,,,,,86.94980265266219,86.87367150428729,87.18974915509746,88.29307621874672,89.22571817476337,,,,,,87.7064035411114,,"rgba(239, 83, 80, 0.75)",1.4633036792337446,88.40336578804411,-2.353145035381329,25.972213800074993,-22.30837501623872,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.8695875406469281,1.0189115180557935,False,False,False,False,-0.30769453556493537,-0.30051433925168125,False,False,False,False,-425072.0,-362950.61979180237,False,False,False,False,7768.4449680746175,False,False,False,False
2025-06-18 17:00:00+00:00,84.94,85.19,84.78,85.18,4871.0,,,,,,,86.91140233595866,86.86142926444062,87.17952860957398,88.28245866889094,89.21346751887545,,,,,,87.68965727954793,,"rgba(239, 83, 80, 0.75)",1.4633036792337446,88.39281750953671,-2.1955917661733,29.480450770451156,-24.203067968352276,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.8736536160027357,1.0133356129252868,False,False,False,False,-0.29093703731941106,-0.29572568828554613,False,False,False,False,-420201.0,-363838.2225857279,False,False,False,False,7723.523340662608,False,False,False,False
2025-06-18 18:00:00+00:00,85.35,85.35,84.735,84.765,4977.0,,,,,,,86.87171384855988,86.84840799465638,87.16870033217596,88.27134823353089,89.20072542720285,,,,,,87.67217916722518,,"rgba(239, 83, 80, 0.75)",1.475582883760924,88.38038461228328,-2.450139976595885,29.748213633457325,-23.921721611543134,False,True,False,True,True,0.0,0.0,0.0,0.0,0.0,0,0.8814110797157294,1.0080486343008823,False,False,False,False,-0.2827946503291463,-0.2892601693073462,False,False,False,False,-425178.0,-364789.22688672435,False,False,False,False,7680.941583443032,False,False,False,False
